date_time,town,title,price,beds,sqft,url
2022-07-08 09:59, (south shore),West Quincy HT/HW Included Easy Access to X-way/ Bus Out Front,1895,2,,https://boston.craigslist.org/sob/apa/d/quincy-west-quincy-ht-hw-included-easy/7506218078.html
2022-07-08 09:52, (Cambridge - Kendall Square),"Partial Fee! Luxury 1 BR w/ 24-hr Concierge, C/A & Lndry in Unit.",3870,1,,https://boston.craigslist.org/gbs/apa/d/cambridge-partial-fee-luxury-br-24-hr/7506215157.html
2022-07-08 09:33, (Allston),Cozy 1 Bedroom on Brainerd Road!,2000,1,,https://boston.craigslist.org/gbs/apa/d/brookline-cozy-bedroom-on-brainerd-road/7506208129.html
2022-07-08 09:25, (Allston),Cozy Commonwealth Ave Studio! Close to the Green Line,1950,,,https://boston.craigslist.org/gbs/apa/d/allston-cozy-commonwealth-ave-studio/7506205206.html
2022-07-08 09:19, (Newton),Beautiful 1 Bedroom A Super Place for a Super Price!!!,1500,1,,https://boston.craigslist.org/gbs/apa/d/newton-beautiful-bedroom-super-place/7506202929.html
2022-07-08 09:10, (Newton),Newton Beautiful 3BR 2+ 1/2BA  3+ PK W+DR Yard + MORE!!! WOW!!!!,3800,3,,https://boston.craigslist.org/gbs/apa/d/waban-newton-beautiful-3br-1-2ba-pk-wdr/7506200028.html
2022-07-08 09:06, (Brighton),NO BROKER FEE! 1 Bedroom Close to Cleveland Circle,2200,1,,https://boston.craigslist.org/gbs/apa/d/brighton-no-broker-fee-bedroom-close-to/7506198908.html
2022-07-08 08:57, (Medford /Somerville Area Shuttle to Subway),"SO CUTE & CLOSE TO SUBWAY! 2BED, GYM, W/D, POOL - PETS OK",3770,2,1166.0,https://boston.craigslist.org/gbs/apa/d/medford-so-cute-close-to-subway-2bed/7506195770.html
2022-07-08 08:52, (Newton),Beautiful 4BR 2BA 4PK W+DR + MORE!!! WOW!!!!!,2800,4,,https://boston.craigslist.org/gbs/apa/d/newtonville-beautiful-4br-2ba-4pk-wdr/7506194326.html
2022-07-08 08:52, (Hudson Ma),Townhouse,2250,3,1300.0,https://boston.craigslist.org/bmw/apa/d/hudson-townhouse/7506194231.html
2022-07-08 08:51, (Seaport District Boston by South Station),"✨PHENOMENAL SEAPORT LUXURY 3 BED/2BH PRIVATE BALCONY! W/D, GYM, POOL-✨",7000,3,1234.0,https://boston.craigslist.org/gbs/apa/d/boston-phenomenal-seaport-luxury-bed/7506193944.html
2022-07-08 08:47, (Seaport District -Boston Waterfront - NO FEE),"EXOTIC NEW SEAPORT 2BD/2BH, W/D, GYM, ROOFDECK, TERRACE",5812,2,1100.0,https://boston.craigslist.org/gbs/apa/d/boston-exotic-new-seaport-2bd-2bh-d-gym/7506192773.html
2022-07-08 08:42, (south shore),"Quincy Center – balc, AC, DW & a less than 10 minute walk to T",1990,2,,https://boston.craigslist.org/sob/apa/d/quincy-quincy-center-balc-ac-dw-less/7506191418.html
2022-07-08 08:42, (south shore),"Quincy -- large bright & sunny, lots of closets, on bus line, AC &",1950,2,940.0,https://boston.craigslist.org/sob/apa/d/quincy-quincy-large-bright-sunny-lots/7506191337.html
2022-07-08 08:41, (south shore),"Quincy on bus line, ground level 2 bedroom",1790,2,,https://boston.craigslist.org/sob/apa/d/quincy-quincy-on-bus-line-ground-level/7506191070.html
2022-07-08 08:40, (south shore),"Quincy Center includes all utilities, Ground level, A/C, 1 minute to T",1820,1,,https://boston.craigslist.org/sob/apa/d/quincy-quincy-center-includes-all/7506190985.html
2022-07-08 08:40, (south shore),"Quincy Center - minute walk to T, all utilities included, SS appliance",1930,1,,https://boston.craigslist.org/sob/apa/d/quincy-quincy-center-minute-walk-to-all/7506190850.html
2022-07-08 08:30, (Plymouth),2 Bedroom Condo,1700,2,800.0,https://boston.craigslist.org/sob/apa/d/plymouth-bedroom-condo/7506188258.html
2022-07-08 08:25, (Watertown),"ONE BEDROOM CONDO WATERTOWN SQUARE, FULL FEE",2300,1,636.0,https://boston.craigslist.org/gbs/apa/d/watertown-one-bedroom-condo-watertown/7506186814.html
2022-07-08 07:55, (Brockton),Large Renovated 2 Bdrm - Central A/C - Off St Parking -,1625,2,875.0,https://boston.craigslist.org/sob/apa/d/brockton-large-renovated-bdrm-central-c/7506180376.html
