date_time,town,title,price,beds,sqft,url
2022-07-07 13:56, (Ludlow),Nice Spacious 2nd Floor 3 Bedroom Available Now,1350,3,1000.0,https://westernmass.craigslist.org/apa/d/ludlow-nice-spacious-2nd-floor-bedroom/7505901091.html
2022-07-07 13:46, (North Elm Street Northampton MA),Second  Floor Two Bedroom North Elm Street Northampton,1625,2,,https://westernmass.craigslist.org/apa/d/florence-second-floor-two-bedroom-north/7505901583.html
2022-07-07 13:39, (Holyoke),a first floor two bedroom apartment,1200,2,1000.0,https://westernmass.craigslist.org/apa/d/springfield-first-floor-two-bedroom/7505897937.html
2022-07-07 13:14, (Springfield),two bedroom apartment,1200,2,1000.0,https://westernmass.craigslist.org/apa/d/springfield-two-bedroom-apartment/7505884325.html
2022-07-07 13:09, (Springfield),Accepting Applications for Waitlist,1347,3,1366.0,https://westernmass.craigslist.org/apa/d/springfield-accepting-applications-for/7505881794.html
2022-07-07 13:02," (342 Southwick Road Westfield, MA)",Reserve Your Dream Home Now!,1777,1,,https://westernmass.craigslist.org/apa/d/westfield-reserve-your-dream-home-now/7505877416.html
2022-07-07 12:25, (Perkins Street Northampton MA),August 1st-Spacious One Plus Bedroom off of State Street!,1600,1,,https://westernmass.craigslist.org/apa/d/northampton-august-1st-spacious-one/7505857206.html
2022-07-07 12:25," (223 Quincy St #3, Springfield, MA)",2 Bedroom Flippers Old !! septic 223 Quincy 1 Bath NY @,800,2,1100.0,https://westernmass.craigslist.org/apa/d/springfield-bedroom-flippers-old-septic/7505850491.html
2022-07-07 12:20, (North East Street North East Terrace Amherst MA),August 15th-One Bedroom Condominium in Amherst,1300,1,,https://westernmass.craigslist.org/apa/d/amherst-august-15th-one-bedroom/7503047278.html
2022-07-07 12:20, (Bridge St. Northampton MA),First Floor All Inclusive Suite on Bridge Street Northampton,2250,1,,https://westernmass.craigslist.org/apa/d/northampton-first-floor-all-inclusive/7498950927.html
2022-07-07 12:19, (Thorpe Avenue Holyoke MA),August 1st-First Floor 2 Bed in Holyoke-Heat and Hot Water Included,1550,2,,https://westernmass.craigslist.org/apa/d/holyoke-august-1st-first-floor-bed-in/7500225357.html
2022-07-07 12:19, (Springfield),55 and over community Now accepting applications for waitlist,767,,419.0,https://westernmass.craigslist.org/apa/d/springfield-55-and-over-community-now/7505853959.html
2022-07-07 12:19, (Grove Street Northampton MA),July 15th-Three Bedroom and 2 Bath Unit-All Utilities Included,2300,3,,https://westernmass.craigslist.org/apa/d/northampton-july-15th-three-bedroom-and/7494746307.html
2022-07-07 12:19," (Mountain St. Haydenville, MA)",July 15th-Beautiful Modern 3 Bedroom Tri-level Townhouse!,2750,3,2440.0,https://westernmass.craigslist.org/apa/d/haydenville-july-15th-beautiful-modern/7498829285.html
2022-07-07 12:19," (342 Southwick Road Westfield, MA)",Apartment Of Your Dreams! Check It Out Today!,1767,1,,https://westernmass.craigslist.org/apa/d/westfield-apartment-of-your-dreams/7505853687.html
2022-07-07 12:18, (Warfield Place Northampton MA),August 15th-2nd Floor Two Bedroom on Warfield Place Northampton,1600,2,,https://westernmass.craigslist.org/apa/d/northampton-august-15th-2nd-floor-two/7505853170.html
2022-07-07 12:15," (342 Southwick Road Westfield, MA)","Check Out Our Resort Style Pool, 24 Hour Gym And So Much More!",2288,2,,https://westernmass.craigslist.org/apa/d/westfield-check-out-our-resort-style/7505851466.html
2022-07-07 12:03, (Easthampton),2 bedroom apartment near Williston academy,1750,2,,https://westernmass.craigslist.org/apa/d/easthampton-bedroom-apartment-near/7503483799.html
2022-07-07 11:24, (AMHERST),3 family home located in AMHERST THREE BED/ONE BATH APARTMENT,1580,3,,https://westernmass.craigslist.org/apa/d/amherst-family-home-located-in-amherst/7505794370.html
2022-07-07 11:05, (Westfield),3 bedroom,1680,3,,https://westernmass.craigslist.org/apa/d/granville-bedroom/7505814069.html
2022-07-07 11:00, (Springfield),"55 and Over, Fitness Center, Walk In Closets",899,1,447.0,https://westernmass.craigslist.org/apa/d/springfield-55-and-over-fitness-center/7505811617.html
2022-07-07 10:58, (North End of Springfield),Comfortable 942 sq ft 2 bed / 1 bath with access to transit,1168,2,942.0,https://westernmass.craigslist.org/apa/d/springfield-comfortable-942-sq-ft-bed/7505810834.html
2022-07-07 10:31, (Amherst),Starting at $1273: 2BR with Income Restrictions,1273,2,,https://westernmass.craigslist.org/apa/d/amherst-starting-at-br-with-income/7501800759.html
2022-07-07 10:30," (1892 Memorial Drive Chicopee, MA)",Make yourself at home at Beacon Square Studio Apartments!,1400,,325.0,https://westernmass.craigslist.org/apa/d/chicopee-make-yourself-at-home-at/7505797774.html
2022-07-07 09:53, (Westfield),$750 / 465ft2 - Large Furnished Studio (Westfield),750,1,465.0,https://westernmass.craigslist.org/apa/d/westfield-ft2-large-furnished-studio/7505781864.html
2022-07-07 09:50, (Springfield),2 BEDROOM APARTMENT ALL UTILITIES INCLUDED!!!,985,2,800.0,https://westernmass.craigslist.org/apa/d/springfield-bedroom-apartment-all/7500098618.html
2022-07-07 09:46, (Greenfield),Two Bedroom Apartment with Hardwood Floors & Private Porch,1300,2,,https://westernmass.craigslist.org/apa/d/greenfield-two-bedroom-apartment-with/7505779145.html
2022-07-07 09:25, (New Lebanon),Cute two story - Wood floors - Private Porch - Garage Space,995,1,,https://westernmass.craigslist.org/apa/d/west-lebanon-cute-two-story-wood-floors/7505771264.html
2022-07-07 09:17, (Springfield),"Our Waitlist is OPEN! Great Springfield Neighborhood, Playground",923,1,572.0,https://westernmass.craigslist.org/apa/d/springfield-our-waitlist-is-open-great/7505768552.html
2022-07-07 09:16, (Springfield),Call for Details on how to get on our waitlist!!!,1097,2,810.0,https://westernmass.craigslist.org/apa/d/springfield-call-for-details-on-how-to/7505768204.html
2022-07-07 09:16, (Springfield),NOW ACCEPTING APPLICATION FOR WAITLIST-Call for Details,923,1,572.0,https://westernmass.craigslist.org/apa/d/springfield-now-accepting-application/7505768004.html
2022-07-07 09:11, (Springfield),Create your future housing opportunity- apply for our waitlist!,1097,2,810.0,https://westernmass.craigslist.org/apa/d/springfield-create-your-future-housing/7505766561.html
2022-07-07 09:06, (Walpole),"Walpole, NH - Abenaki Springs - IMMEDIATE AVAILABILITY! APPLY TODAY!",890,1,,https://westernmass.craigslist.org/apa/d/dedham-walpole-nh-abenaki-springs/7503167183.html
2022-07-07 09:01, (Springfield),Park Street Lofts,1499,,,https://westernmass.craigslist.org/apa/d/springfield-park-street-lofts/7505763063.html
2022-07-07 08:16, (Holyoke),Country setting 2 BEDROOM $950.00 RTE 5-near Northampton,950,2,,https://westernmass.craigslist.org/apa/d/holyoke-country-setting-bedroom-rte/7505751696.html
2022-07-07 00:28," (Hadley, MA)",Available for rent starting July 15th August 1st (somewhat flexible);,1000,3,,https://westernmass.craigslist.org/apa/d/available-for-rent-starting-july-15th/7505706548.html
2022-07-07 00:28," (Hadley, MA)",Available for rent starting July 15th August 1st (somewhat flexible);,1000,3,,https://westernmass.craigslist.org/apa/d/available-for-rent-starting-july-15th/7505706509.html
2022-07-06 22:42, (Greenfield),One bedroom apartment,1150,1,750.0,https://westernmass.craigslist.org/apa/d/one-bedroom-apartment/7505688976.html
2022-07-06 21:19, (Goshen),Lakefront Cozy Studio,1250,,400.0,https://westernmass.craigslist.org/apa/d/williamsburg-lakefront-cozy-studio/7501178156.html
2022-07-06 20:42, (234 RIVER ROAD N. HADLEY),3 BED/1 BATH N. HADLEY BY POND/AMHERST,2550,3,1000.0,https://westernmass.craigslist.org/apa/d/hatfield-bed-bath-hadley-by-pond-amherst/7505655283.html
2022-07-06 20:33, (Springfield),2 bedroom apartment,1025,2,865.0,https://westernmass.craigslist.org/apa/d/springfield-bedroom-apartment/7505652599.html
2022-07-06 20:26, (Greenfield),Two Bedroom/2 BR Greenfield MA,1525,2,1100.0,https://westernmass.craigslist.org/apa/d/greenfield-two-bedroom-br-greenfield-ma/7503846523.html
2022-07-06 20:16, (Near Downtown Springfield),Call us today for great prices at our Affordable Community,1270,2,621.0,https://westernmass.craigslist.org/apa/d/springfield-call-us-today-for-great/7505646618.html
2022-07-06 20:15, (Near Metro Center),"Baystate Place – Comfortable 1 bed, 1 bath, prime location!",1059,1,440.0,https://westernmass.craigslist.org/apa/d/springfield-baystate-place-comfortable/7505646202.html
2022-07-06 20:11," (Greenfield, MA)",Light-filled Studio - Live/Work in Downtown,925,,,https://westernmass.craigslist.org/apa/d/greenfield-light-filled-studio-live/7505645094.html
2022-07-06 20:01, (Springfield),Make your home with us! Lovely community with great style!,1059,1,440.0,https://westernmass.craigslist.org/apa/d/springfield-make-your-home-with-us/7505641587.html
2022-07-06 18:34, (Main Street Northampton MA),September 9th-With Parking and Electricity Included in DT Northampton!,1300,,,https://westernmass.craigslist.org/apa/d/northampton-september-9th-with-parking/7505608410.html
2022-07-06 18:30, (Center Street Northampton Ma),September 1st-First Floor One Bedroom on Center St. Northampton,1300,1,,https://westernmass.craigslist.org/apa/d/northampton-september-1st-first-floor/7505606803.html
2022-07-06 18:24, (Day Avenue Northampton MA),Three Bedroom Lovely Unit Close to Downtown Northampton!,1950,3,,https://westernmass.craigslist.org/apa/d/northampton-three-bedroom-lovely-unit/7505604616.html
2022-07-06 18:19, (Bratton Court Florence MA),Gorgeous Two Bedroom in the Heart of DT Florence,2500,2,,https://westernmass.craigslist.org/apa/d/florence-gorgeous-two-bedroom-in-the/7505602555.html
2022-07-06 18:14," (Chestnut Plain Road, Whately, MA)",September 1st-Heat and Hot Water Included In Cost Of Rent!,2900,5,,https://westernmass.craigslist.org/apa/d/south-deerfield-september-1st-heat-and/7505600741.html
2022-07-06 18:09," (Arnold Avenue Northampton, MA)",September1st-One Bedroom on Arnold Avenue Northampton,1225,1,,https://westernmass.craigslist.org/apa/d/northampton-september1st-one-bedroom-on/7505598377.html
2022-07-06 18:06, (Village Hill Northampton MA),July 15th-Beautiful One Bedroom Village Hill Northampton,1400,1,737.0,https://westernmass.craigslist.org/apa/d/northampton-july-15th-beautiful-one/7505596753.html
2022-07-06 18:02, (Amherst),Peace and Beauty,850,1,480.0,https://westernmass.craigslist.org/apa/d/amherst-peace-and-beauty/7505595438.html
2022-07-06 17:59," (Northampton,)",1 bedroom apt with screened porch/deck,1200,1,600.0,https://westernmass.craigslist.org/apa/d/northampton-bedroom-apt-with-screened/7505594288.html
2022-07-06 17:43," (Conz Street Northampton, MA)",Heat and Hot Water Included-Conz Street Northampton,2100,2,,https://westernmass.craigslist.org/apa/d/northampton-heat-and-hot-water-included/7505587076.html
2022-07-06 17:38," (South Street Northampton, Ma)",Lovely One Bedroom in an Owner Occupied Home!,1400,1,,https://westernmass.craigslist.org/apa/d/northampton-lovely-one-bedroom-in-an/7505585123.html
2022-07-06 16:19, (Northampton),2 BR - In the Heart of Downtown Northampton,1525,2,915.0,https://westernmass.craigslist.org/apa/d/northampton-br-in-the-heart-of-downtown/7503576988.html
2022-07-06 15:55, (South. Hadley),Two bedroom in two family,1100,2,500.0,https://westernmass.craigslist.org/apa/d/south-hadley-two-bedroom-in-two-family/7505535575.html
2022-07-06 15:53, (Bratton Court Florence Ma),New Construction Beautiful 2 Bedroom Bratton Court Florence,2300,2,,https://westernmass.craigslist.org/apa/d/florence-new-construction-beautiful/7505534487.html
2022-07-06 15:48," (342 Southwick Road Westfield, MA)",2 Bedroom Dream Home! Call Now To Reserve Your Home!,2091,2,,https://westernmass.craigslist.org/apa/d/westfield-bedroom-dream-home-call-now/7505532048.html
2022-07-06 15:26," (342 Southwick Road Westfield, MA)",We Have Everything Except You! Apply Now!,1933,1,,https://westernmass.craigslist.org/apa/d/westfield-we-have-everything-except-you/7505520621.html
2022-07-06 15:24, (Springfield),55 and over community Now accepting applications for waitlist,1040,2,825.0,https://westernmass.craigslist.org/apa/d/springfield-55-and-over-community-now/7505519755.html
2022-07-06 15:17, (Easy Access to Downtown),"Great move-in special! Don't wait. This 2 Bed, 1 bath will go fast!",1168,2,942.0,https://westernmass.craigslist.org/apa/d/springfield-great-move-in-special-dont/7505515742.html
2022-07-06 15:07, (Springfield),Accepting applications for waitlist,934,,507.0,https://westernmass.craigslist.org/apa/d/springfield-accepting-applications-for/7505510350.html
2022-07-06 14:49, (Westfield),Spacious Beautifully Unique 3rd Floor 1 Bedroom Apartment Available,1500,1,1600.0,https://westernmass.craigslist.org/apa/d/westfield-spacious-beautifully-unique/7505477571.html
2022-07-06 12:38, (Amherst),Starts at $1273 - Income Restrictions,1273,2,,https://westernmass.craigslist.org/apa/d/amherst-starts-at-income-restrictions/7503456586.html
2022-07-06 12:20, (Springfield),Accepting applications for waitlist,1173,2,883.0,https://westernmass.craigslist.org/apa/d/springfield-accepting-applications-for/7505417905.html
2022-07-06 12:18, (Springfield),55 and over community Now accepting applications for waitlist,767,,419.0,https://westernmass.craigslist.org/apa/d/springfield-55-and-over-community-now/7505416667.html
2022-07-06 12:08, (Amherst),New Modern 2-bedroom units available for August move-in,3059,2,,https://westernmass.craigslist.org/apa/d/amherst-new-modern-bedroom-units/7494430885.html
2022-07-06 11:55," (1892 Memorial Drive Chicopee, MA)",Available Move In- This Friday! Call today!,1325,,325.0,https://westernmass.craigslist.org/apa/d/chicopee-available-move-in-this-friday/7505403896.html
2022-07-06 11:40, (Leeds),"Furnished, ALL-inclusive 3 BR house near Look Park",3950,3,,https://westernmass.craigslist.org/apa/d/leeds-furnished-all-inclusive-br-house/7505395657.html
2022-07-06 10:43," (Northampton, MA)","2Bed/1Bath Single Family Home in Quiet, Central Neighborhood",2600,2,750.0,https://westernmass.craigslist.org/apa/d/northampton-2bed-1bath-single-family/7505366140.html
2022-07-06 09:59, (Springfield),55 and over community Now accepting applications for Waitlist,899,1,447.0,https://westernmass.craigslist.org/apa/d/springfield-55-and-over-community-now/7505345045.html
2022-07-06 09:26," (342 Southwick Road Westfield, MA)",Visit The Apartment Of Your Dreams Today!,1933,1,,https://westernmass.craigslist.org/apa/d/westfield-visit-the-apartment-of-your/7505332484.html
2022-07-06 09:10," (15 Park St Springfield ,Ma)",Park Street Lofts,1499,,,https://westernmass.craigslist.org/apa/d/springfield-park-street-lofts/7499673884.html
2022-07-06 08:47, (Fitchburg/ Willow St),Beautiful 2Br in Fitchburg for August HW inc Laundry/Parking NO FEE,1450,2,,https://westernmass.craigslist.org/apa/d/fitchburg-beautiful-2br-in-fitchburg/7505320028.html
2022-07-06 08:35, (Turners Falls),Downtown Turners Falls 2br+ with Yard,1500,2,,https://westernmass.craigslist.org/apa/d/turners-falls-downtown-turners-falls/7505316799.html
2022-07-06 08:10, ((Downtown Northampton)),"3 bedroom apartment downtown Northampton, available July",2200,3,,https://westernmass.craigslist.org/apa/d/northampton-bedroom-apartment-downtown/7504248276.html
2022-07-06 07:59, (Westfield),Westfield modern townhouse bike trail,1525,2,800.0,https://westernmass.craigslist.org/apa/d/westfield-westfield-modern-townhouse/7505308627.html
2022-07-06 07:57, (Westfield),Westfield modern townhouse bike trail,1525,2,800.0,https://westernmass.craigslist.org/apa/d/westfield-westfield-modern-townhouse/7505308252.html
2022-07-06 01:23, (Northampton),Cozy Apt on Side Street,1750,2,850.0,https://westernmass.craigslist.org/apa/d/northampton-cozy-apt-on-side-street/7494828364.html
2022-07-05 21:54, (Holyoke),Freshly renovated 2-3 bedroom in lovely Oakdale neighborhood,1500,3,1000.0,https://westernmass.craigslist.org/apa/d/holyoke-freshly-renovated-3-bedroom-in/7505234590.html
