date_time,town,title,price,beds,sqft,url
2022-07-09 12:21, (Hutto),3/2 Hutto duplex for rent,1500,3,1200.0,https://austin.craigslist.org/apa/d/hutto-2-hutto-duplex-for-rent/7506739727.html
2022-07-09 12:19, (Central N. Austin),House 3/1 Central Austin,2400,3,1400.0,https://austin.craigslist.org/apa/d/austin-house-1-central-austin/7506738779.html
2022-07-09 12:15, (CALL FOR FREE LOCATING),SOME APTs ACCEPT FELONS.  It's my business to know where they are!,1100,1,,https://austin.craigslist.org/apa/d/austin-some-apts-accept-felons-its-my/7502609879.html
2022-07-09 12:15, (AUSTIN'S #1 LOCATOR),CRIMINAL RECORD? I will find the spot for you! FREE EXPERT HELP!,1400,2,,https://austin.craigslist.org/apa/d/austin-criminal-record-will-find-the/7501131846.html
2022-07-09 12:15, (CALL FOR FREE LOCATING),SOME APTs ACCEPT FELONS.  It's my business to know where they are!,1100,1,,https://austin.craigslist.org/apa/d/austin-some-apts-accept-felons-its-my/7500342903.html
2022-07-09 12:15, (#1 AUSTIN APARTMENT LOCATOR),BROKEN LEASE? YOU CAN STILL LEASE AT QUALITY COMMUNITIES!,1800,3,,https://austin.craigslist.org/apa/d/austin-broken-lease-you-can-still-lease/7500343057.html
2022-07-09 12:15, (Georgetown),2-1 Cottage,1500,2,1150.0,https://austin.craigslist.org/apa/d/georgetown-1-cottage/7498309598.html
2022-07-09 12:11, (Between UT campus/downtown),Great studio available Aug 3,1300,,446.0,https://austin.craigslist.org/apa/d/austin-great-studio-available-aug/7506734740.html
2022-07-09 12:08, (Vista Oaks Round Rock),Beautiful meticulously maintained home in established neigh,3230,3,2418.0,https://austin.craigslist.org/apa/d/round-rock-beautiful-meticulously/7499073399.html
2022-07-09 11:56, (Far West),Best price Far West studio $1148! 8/9 move in on 14m lease UT shuttle,1148,,422.0,https://austin.craigslist.org/apa/d/austin-best-price-far-west-studio-move/7504404539.html
2022-07-09 11:54, (Linea Stillwater),"Modern Homes, Elevated Amenities, Private Backyards and Maintenance!",2440,4,1627.0,https://austin.craigslist.org/apa/d/georgetown-modern-homes-elevated/7506726296.html
2022-07-09 11:54," (7011 McKinney Falls Pkwy, Austin, TX)",***ONE MONTH FREE***2X2***943SQFT**$1199.00**,1274,2,943.0,https://austin.craigslist.org/apa/d/austin-one-month-free2x2943sqft119900/7496823700.html
2022-07-09 11:53, (Near South Lamar),Move In This Week- 2 Miles From Downtown,1730,1,,https://austin.craigslist.org/apa/d/austin-move-in-this-week-miles-from/7501088815.html
2022-07-09 11:53, (Austin),"Luxury 1bd 860sf private backyard, att garage mins to Tesla! 8/24 move",1784,1,860.0,https://austin.craigslist.org/apa/d/austin-luxury-1bd-860sf-private/7503196085.html
2022-07-09 11:50, (Northeast Austin),Luxury 3/2 apartment private backyard/WD incl mins to Tesla! 8/10 move,2266,3,1342.0,https://austin.craigslist.org/apa/d/austin-luxury-2-apartment-private/7503192710.html
2022-07-09 11:47, (Nw Hills),"4bed/2bth,W/D, UT Shuttle, 2 Carports, Shops, Views! Treehouse Duplex",2900,4,2150.0,https://austin.craigslist.org/apa/d/4bed-2bthw-ut-shuttle-carports-shops/7499192480.html
2022-07-09 11:47, (Northwest Austin),Best Arboretum pricing!  LG 1BD 653sf w/d connects ASAP MOVES!,1185,1,653.0,https://austin.craigslist.org/apa/d/austin-best-arboretum-pricing-lg-1bd/7498267789.html
2022-07-09 11:47, (Georgetown),"$1,960 / 1br - **Move-in Monthly Special no lease come see us !!!!!!**",1960,1,,https://austin.craigslist.org/apa/d/georgetown-br-move-in-monthly-special/7506683971.html
2022-07-09 11:36, (Near South Lamar),Welcome home to The Grove!,1720,1,679.0,https://austin.craigslist.org/apa/d/austin-welcome-home-to-the-grove/7499915734.html
2022-07-09 11:24, (Georgetown),$490 / 1br - Weekly Move-in Special (Georgetown),490,1,,https://austin.craigslist.org/apa/d/georgetown-490-1br-weekly-move-in/7506662173.html
2022-07-09 11:23, (Near South Lamar),Now Available- Newly Renovated Apartment Homes,1720,1,679.0,https://austin.craigslist.org/apa/d/austin-now-available-newly-renovated/7503074233.html
2022-07-09 11:23, (Near South Lamar),Pets Welcome- NEWLY RENOVATED,1720,1,679.0,https://austin.craigslist.org/apa/d/austin-pets-welcome-newly-renovated/7503124470.html
2022-07-09 11:21, (South East),Island Kitchen ♦ Walk-in closets ♦ Balcony ♦ Mins to downtown ♦,1640,1,590.0,https://austin.craigslist.org/apa/d/austin-island-kitchen-walk-in-closets/7506709511.html
2022-07-09 11:18, (Jarrell),Avail 8/5 in Stonebridge Crossing - 4 BR/2 BA - JARRELL!,2100,4,1794.0,https://austin.craigslist.org/apa/d/jarrell-avail-5-in-stonebridge-crossing/7506708317.html
2022-07-09 11:13, (East Austin),Apartment in Austin,2550,2,,https://austin.craigslist.org/apa/d/austin-apartment-in-austin/7506705965.html
2022-07-09 11:13, (2222),❤❤❤PRIVATE Mountain Top Condo/Hill Country Views/Cozy and Quiet❤❤❤,1457,1,547.0,https://austin.craigslist.org/apa/d/austin-private-mountain-top-condo-hill/7497208393.html
