date_time,town,title,price,beds,sqft,url
2022-07-07 14:41, (Streeterville - 211 Delaware),Studio with stainless steel appliances! Steps from the lake!,1495,,,https://chicago.craigslist.org/chc/apa/d/chicago-studio-with-stainless-steel/7505963659.html
2022-07-07 14:41, (OAK PARK),Large Vintage Oak Park 1 BR (222),1300,1,912.0,https://chicago.craigslist.org/chc/apa/d/oak-park-large-vintage-oak-park-br-222/7505963471.html
2022-07-07 14:41, (Lakeview),3355 N. Clark St. Unit 2N,3795,3,,https://chicago.craigslist.org/chc/apa/d/chicago-3355-clark-st-unit-2n/7505963304.html
2022-07-07 14:40, (Humboldt Park (ON THE PARK)),"Bright Studio Apt. On Humboldt Park (incl heat, electr)",1390,1,780.0,https://chicago.craigslist.org/chc/apa/d/chicago-bright-studio-apt-on-humboldt/7505963151.html
2022-07-07 14:40, (Gold Coast - 25 E Delaware),Spacious studio with dishwasher! Gold Coast!,1325,,,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-studio-with-dishwasher/7505962883.html
2022-07-07 14:39, (Gold Coast - 1036 Dearborn),Available studio in Gold Coast! Short walk to CTA red line,1145,,,https://chicago.craigslist.org/chc/apa/d/chicago-available-studio-in-gold-coast/7505962397.html
2022-07-07 14:38, (Gold Coast - 18 E Elm),Studio available 9/1! Short walk to the lake!,1445,,,https://chicago.craigslist.org/chc/apa/d/chicago-studio-available-1-short-walk/7505962100.html
2022-07-07 14:37, (city of chicago),Studio in Chicago with Great Amenities,1055,,,https://chicago.craigslist.org/chc/apa/d/chicago-studio-in-chicago-with-great/7505961467.html
2022-07-07 14:36, (city of chicago),2 Bed/1 Bath Unit with Balcony and Close to Transportation!,1925,2,950.0,https://chicago.craigslist.org/chc/apa/d/chicago-bed-bath-unit-with-balcony-and/7505961388.html
2022-07-07 14:35, (city of chicago),Spacious Two Bedroom/One Bath With Open Living Room and Dining Room Ar,1990,2,1000.0,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-two-bedroom-one-bath/7505960872.html
2022-07-07 14:35, (Chicago),Housing for rent 3 bedroom 2 bathroom in Fantastic Location,1200,3,1260.0,https://chicago.craigslist.org/chc/apa/d/chicago-housing-for-rent-bedroom/7505960669.html
2022-07-07 14:35, (6410 North Hoyne APT 1W),WEST RIDGE CONDO QUALITY MODERN 3 bed/2 bath $1525,1525,3,1250.0,https://chicago.craigslist.org/nch/apa/d/chicago-west-ridge-condo-quality-modern/7505960661.html
2022-07-07 14:35, (city of chicago),Studio Available Now in Wrigleyville,1065,,,https://chicago.craigslist.org/chc/apa/d/chicago-studio-available-now-in/7505960503.html
2022-07-07 14:34, (city of chicago),Studio Apartment Available ASAP in Lakeview,995,,,https://chicago.craigslist.org/chc/apa/d/chicago-studio-apartment-available-asap/7505960290.html
2022-07-07 14:34, (city of chicago),Studio Apartment Available NOW in Lakeview,1125,,,https://chicago.craigslist.org/chc/apa/d/chicago-studio-apartment-available-now/7505960036.html
2022-07-07 14:33, (2620 W. Washington Blvd.),GREEN ALL-CONCRETE LOFTS! July $1200 INCENTIVES!!! HURRY!!!,1895,2,1300.0,https://chicago.craigslist.org/chc/apa/d/chicago-green-all-concrete-lofts-july/7505959793.html
2022-07-07 14:33, (city of chicago),1 BR available in Roscoe Village Available September 1st,1445,1,,https://chicago.craigslist.org/chc/apa/d/chicago-br-available-in-roscoe-village/7505959628.html
2022-07-07 14:32, (city of chicago),Studio Apartment Available NOW in Lakeview/ Roscoe Village,955,,,https://chicago.craigslist.org/chc/apa/d/chicago-studio-apartment-available-now/7505959312.html
2022-07-07 14:32, (The Loop),"Live on the Chicago River! 3bedroom 3 bath Gym, Pool, Sundeck",5300,3,,https://chicago.craigslist.org/chc/apa/d/chicago-live-on-the-chicago-river/7505959156.html
2022-07-07 14:31, (city of chicago),Studio Apartment Available August 1 in Lakeview/ Roscoe Village,925,,,https://chicago.craigslist.org/chc/apa/d/chicago-studio-apartment-available/7505958773.html
2022-07-07 14:31, (Edgewater),Wonderfully Rehabbed Edgewater Two bedroom! New Kitchen!,2100,2,,https://chicago.craigslist.org/nch/apa/d/chicago-wonderfully-rehabbed-edgewater/7505958562.html
2022-07-07 14:30, (city of chicago),Studio Available August1st in Wrigleyville,935,,,https://chicago.craigslist.org/chc/apa/d/chicago-studio-available-august1st-in/7505958162.html
2022-07-07 14:28," (Sauganash, Chicago, Skokie)",Newly Renovated Apartment in Desirable Sauganash!,935,,500.0,https://chicago.craigslist.org/nch/apa/d/chicago-newly-renovated-apartment-in/7505957368.html
2022-07-07 14:09, (Wicker Park),HUGE STUDIO WICKER PARK,1990,1,1250.0,https://chicago.craigslist.org/chc/apa/d/chicago-huge-studio-wicker-park/7505947635.html
2022-07-07 14:06, (Evanston),"Rooftop, Updated Finishes, Gym, Grills, and more!",1655,1,700.0,https://chicago.craigslist.org/chc/apa/d/evanston-rooftop-updated-finishes-gym/7505946362.html
2022-07-07 14:05, (Logan Square),2 Bed in Logan Square. Great Location,2795,2,1100.0,https://chicago.craigslist.org/chc/apa/d/chicago-bed-in-logan-square-great/7505945580.html
2022-07-07 13:56, (Avondale),Brand New Massive 3 bed 2 bath  High End Apartment,3400,3,1280.0,https://chicago.craigslist.org/chc/apa/d/chicago-brand-new-massive-bed-bath-high/7505940797.html
2022-07-07 13:52, (East Rogers Park),Location! Heat Included! Updated Kitchen & Bathroom! Large Floorplan!,1400,2,,https://chicago.craigslist.org/chc/apa/d/chicago-location-heat-included-updated/7505938918.html
2022-07-07 13:52, (Avondale),Brand New Massive 5 bed 3 bath  High End  Duplex Down,4500,5,2500.0,https://chicago.craigslist.org/chc/apa/d/chicago-brand-new-massive-bed-bath-high/7505938786.html
2022-07-07 13:49, (Lakeview East),"1BD - Fitness Center, Parking, Convenient Location!",1500,1,,https://chicago.craigslist.org/chc/apa/d/chicago-1bd-fitness-center-parking/7505937099.html
2022-07-07 13:49, (Arlington Heights),Love your new apartment home! Beautiful 2 bedroom floorplans.,1629,2,848.0,https://chicago.craigslist.org/nwc/apa/d/arlington-heights-love-your-new/7505936908.html
2022-07-07 13:47, (Lakeview),1BD - Walk to Shops and the Lakefront!,1180,,370.0,https://chicago.craigslist.org/chc/apa/d/chicago-1bd-walk-to-shops-and-the/7505936307.html
2022-07-07 13:46, (Logan Square),Updated Logan Square Two Bedroom! Central A/C and In-Unit Laundry!,2595,2,,https://chicago.craigslist.org/nch/apa/d/chicago-updated-logan-square-two/7505935697.html
2022-07-07 13:44, (Lakeview East),Homey 1BD in Lakeview East,1500,1,660.0,https://chicago.craigslist.org/chc/apa/d/chicago-homey-1bd-in-lakeview-east/7505934785.html
2022-07-07 13:32, (Roscoe Village),Rare 3BR/2BA Dplx off Brown Line-HWF|SS|Liv/Din Rm|Unit WD|Wont Last!,3000,3,2000.0,https://chicago.craigslist.org/chc/apa/d/chicago-rare-3br-2ba-dplx-off-brown/7505928367.html
2022-07-07 13:32, (Logan Square),2 Bed / 2 Bath Modern Rehab with in unit laundry,2895,2,1100.0,https://chicago.craigslist.org/chc/apa/d/chicago-bed-bath-modern-rehab-with-in/7505928075.html
2022-07-07 13:30, (Oak Park),1-Bedroom Units Steps from Blue Line! $1050-$1150 (956),1050,1,,https://chicago.craigslist.org/wcl/apa/d/oak-park-bedroom-units-steps-from-blue/7505927196.html
2022-07-07 13:29, (Bucktown),1 Block To The Blueline! 2bd+Den! HVAC! Formal Dining Room!,1695,2,,https://chicago.craigslist.org/chc/apa/d/chicago-block-to-the-blueline-2bdden/7505926735.html
2022-07-07 13:26, (Oak Park),Large Two-Bedroom Unit in Ideal Oak Park Neighborhood! (466),1395,2,700.0,https://chicago.craigslist.org/wcl/apa/d/oak-park-large-two-bedroom-unit-in/7505924839.html
2022-07-07 13:24, (The Loop),"Live on the River Walk! Studio, Pool, Gym, Screening Room, Sundeck",2235,,,https://chicago.craigslist.org/chc/apa/d/chicago-live-on-the-river-walk-studio/7505924027.html
2022-07-07 13:24, (Lakeview),In Unit Laundry! Updated Studio In the Heart of Lakeview!,1495,,,https://chicago.craigslist.org/nch/apa/d/chicago-in-unit-laundry-updated-studio/7505924004.html
