date_time,town,title,price,beds,sqft,url
2022-07-08 19:55," (1105 South Cherry Street, Denver, CO)","Dishwasher, Shopping Nearby, Window Coverings",1550,1,720.0,https://denver.craigslist.org/apa/d/denver-dishwasher-shopping-nearby/7505653098.html
2022-07-08 19:52," (250 South Clermont Street, Denver, CO)","Shopping Nearby, Public Park Nearby, Off-Street and Guest Parking",1390,1,650.0,https://denver.craigslist.org/apa/d/denver-shopping-nearby-public-park/7506543080.html
2022-07-08 19:48," (23680 East Easter Drive, Aurora, CO)","Corner Apartment, Package Receiving, Shopping Nearby",1855,1,967.0,https://denver.craigslist.org/apa/d/aurora-corner-apartment-package/7500010461.html
2022-07-08 19:43, (Denver),Great 3bd/2ba Home for Lease in Denver,2800,3,1600.0,https://denver.craigslist.org/apa/d/denver-great-3bd-2ba-home-for-lease-in/7506538402.html
2022-07-08 19:43, (530 25th Street),"2 Bed w/ In-Unit Laundry, Dishwasher, A/C",2425,2,920.0,https://denver.craigslist.org/apa/d/denver-bed-in-unit-laundry-dishwasher-c/7495198461.html
2022-07-08 19:37, (Southeast Denver),"Seasonal Community Garden, Gray/White Tiled Tub/Shower, 2 - Bark Parks",1406,1,700.0,https://denver.craigslist.org/apa/d/denver-seasonal-community-garden-gray/7505483265.html
2022-07-08 19:34," (1105 South Cherry Street, Denver, CO)","Wood Burning Fireplace, Dishwasher, Refrigerator",1655,2,870.0,https://denver.craigslist.org/apa/d/denver-wood-burning-fireplace/7506538469.html
2022-07-08 19:32, (Centennial),The living room features a large window,1700,1,2430.0,https://denver.craigslist.org/apa/d/littleton-the-living-room-features/7504818944.html
2022-07-08 19:31," (1882 E. 104th Avenue, Thornton, CO)","Private Garage, Large Walk-In Closet, ADA Compliant",1568,1,719.0,https://denver.craigslist.org/apa/d/denver-private-garage-large-walk-in/7498967033.html
2022-07-08 19:27, (Westminster),This Updated 1 Bedroom + 1 Bathroom,1400,1,508.0,https://denver.craigslist.org/apa/d/westminster-this-updated-bedroom/7502852669.html
2022-07-08 19:27, (Arvada),Just 20 minutes from downtown Denver!,1400,1,788.0,https://denver.craigslist.org/apa/d/arvada-just-20-minutes-from-downtown/7502855375.html
2022-07-08 19:27, (Denver),Striking Columbia Heights home near Berkeley Lake Park,3750,3,1291.0,https://denver.craigslist.org/apa/d/denver-striking-columbia-heights-home/7506533628.html
2022-07-08 19:25," (1250 South Clermont Street, Denver, CO)","Hot Tub, Refrigerator, Fireplace",1824,2,1015.0,https://denver.craigslist.org/apa/d/denver-hot-tub-refrigerator-fireplace/7506533378.html
2022-07-08 19:14," (1882 E. 104th Avenue, Thornton, CO)","Fitness Center, Heated Pool, We Love Pets!",2172,2,1073.0,https://denver.craigslist.org/apa/d/denver-fitness-center-heated-pool-we/7500727605.html
