date_time,town,title,price,beds,sqft,url
2022-07-08 03:40, (Kalapana),Small fixer upper cabin for rent,250,,,https://honolulu.craigslist.org/big/apa/d/pahoa-small-fixer-upper-cabin-for-rent/7506209050.html
2022-07-08 03:35, (Moiliili),"Fully furnished Luxury Condo (2 beds, 2 baths)",2500,2,1007.0,https://honolulu.craigslist.org/oah/apa/d/honolulu-fully-furnished-luxury-condo/7506203260.html
2022-07-08 03:25," (1818 Anapuni Street, Honolulu, HI)","STOP LOOKING, START LIVING & RELAX!! AVAILABLE 6/20 MOVE-IN",1795,1,494.0,https://honolulu.craigslist.org/oah/apa/d/honolulu-stop-looking-start-living/7496588069.html
2022-07-08 03:17, ((Wailuku)),Beautiful Niskayuna Condo for Rent,700,1,800.0,https://honolulu.craigslist.org/big/apa/d/honolulu-beautiful-niskayuna-condo-for/7506196330.html
2022-07-08 03:13," (1552 Young Street, Honolulu, HI)",GORGEOUS RENOVATED 2 BEDROOM is available Now,2395,2,730.0,https://honolulu.craigslist.org/oah/apa/d/honolulu-gorgeous-renovated-bedroom-is/7505142470.html
2022-07-08 03:12, (Ainaloa),New House For Rent in Pahoa,1500,3,,https://honolulu.craigslist.org/big/apa/d/pahoa-new-house-for-rent-in-pahoa/7506188829.html
2022-07-08 03:05, (Waikiki),Renovated Apartment at Napili Towers Apartments In Waikiki! PETS OK!,2495,2,674.0,https://honolulu.craigslist.org/oah/apa/d/honolulu-renovated-apartment-at-napili/7502107041.html
2022-07-08 02:58, (Maui Lani),3 Bedroom 3 Bath (,1950,3,1830.0,https://honolulu.craigslist.org/mau/apa/d/lahaina-bedroom-bath/7506188862.html
2022-07-08 02:39," (1531 Kamehameha IV Road, Honolulu, HI)",Lovely Studio in Great Location.,1215,,385.0,https://honolulu.craigslist.org/oah/apa/d/honolulu-lovely-studio-in-great-location/7496653343.html
2022-07-08 02:38, (Maui Meadows),Furnished - King Bed - Washer/Dryer - Kitchen - AC - WIF,3000,1,700.0,https://honolulu.craigslist.org/mau/apa/d/kula-furnished-king-bed-washer-dryer/7498737521.html
