date_time,town,title,price,beds,sqft,url
2022-07-08 10:06, (Harlem / Morningside),Large 3 Bed 2 Bath• Laundry• Some Utilities included•Easy Approval,3200,3,,https://newyork.craigslist.org/mnh/apa/d/new-york-large-bed-bath-laundry-some/7506221541.html
2022-07-08 10:03, (Brooklyn),*832 Quincy st 4R* located in PRIME LOCATION  **Studio!!!  Heat and Hot water in,2250,1,,https://newyork.craigslist.org/brk/apa/d/brooklyn-832-quincy-st-4r-located-in/7506220176.html
2022-07-08 09:58, (Long Island City),Pvt Terrace--W/D In Unit--King Size 1 Bed--No Fee,4200,2,,https://newyork.craigslist.org/que/apa/d/long-island-city-pvt-terrace-d-in-unit/7506217726.html
2022-07-08 09:55, (Elmsford),Spacious 1023 sq ft 2 bed and luxurious amenities at Apex at 290!,3600,2,1023.0,https://newyork.craigslist.org/wch/apa/d/elmsford-spacious-1023-sq-ft-bed-and/7506216577.html
2022-07-08 09:55, (Stamford),"New Spaciousness 1 BR,$2325,Hardwd,W/D,Terr,Dwntwn",2325,1,800.0,https://newyork.craigslist.org/fct/apa/d/stamford-new-spaciousness-br2325hardwdw/7506216359.html
2022-07-08 09:53, (Stamford),"Great 4 shares,2BR,2 Bth,$2895,Hardwd,W/D,Terr,Dwntwn",2895,2,1100.0,https://newyork.craigslist.org/fct/apa/d/stamford-great-shares2br2/7506215776.html
2022-07-08 09:51, (Harlem / Morningside),Fantastic 2 Bed^ Gym^ Washer Dryer^Bike Storage^Modern Layout^,2200,2,,https://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-bed-gym-washer/7506214979.html
2022-07-08 09:50, (WHITE PLAINS),DUPLEX*SEPARATE ENTRANCE*W/D IN UNIT*PARKING*CLOSE TO RR/SHOPS,3400,3,1300.0,https://newyork.craigslist.org/wch/apa/d/white-plains-duplexseparate-entrancew/7506214501.html
2022-07-08 09:47, (Glenwood Landing),* Brand New 3BR*  2 Bth * 500sf Deck* Only $4500,4500,3,,https://newyork.craigslist.org/lgi/apa/d/glenwood-landing-brand-new-3br-bth/7506213537.html
2022-07-08 09:44, (Harlem / Morningside),Fantastic 3 Bed^ Gym^ Washer Dryer^Bike Storage^Modern Layout^,3195,3,,https://newyork.craigslist.org/mnh/apa/d/new-york-fantastic-bed-gym-washer/7506212187.html
2022-07-08 09:40, (Brooklyn),* NEW CONSTRUCTION – LUXURY – SPACIOUS STODIO APT*,2390,1,,https://newyork.craigslist.org/brk/apa/d/brooklyn-new-construction-luxury/7506210529.html
2022-07-08 09:36, (Brooklyn),A Loft Space Straight out of a TV show! $4500,4500,,,https://newyork.craigslist.org/brk/apa/d/brooklyn-loft-space-straight-out-of-tv/7506208995.html
2022-07-08 09:35, (Brooklyn),Bedstuy/Bushwick 4 Bed 2 Bath $3200!,3200,4,,https://newyork.craigslist.org/brk/apa/d/brooklyn-bedstuy-bushwick-bed-bath-3200/7506208602.html
2022-07-08 09:34, (Brooklyn),Huge Private Deck 3 Bedroom! Myrtle/Broadway $4200,4200,3,,https://newyork.craigslist.org/brk/apa/d/brooklyn-huge-private-deck-bedroom/7506208472.html
2022-07-08 09:34, (Bedford-Stuyvesant),"Bedstuy/Bushwick 3BR Value deal w dishwasher, central air, laundry",2700,3,,https://newyork.craigslist.org/brk/apa/d/brooklyn-bedstuy-bushwick-3br-value/7506208388.html
