date_time,town,title,price,beds,sqft,url
2022-07-08 08:21," (3852 South 29th Street, Tacoma, WA)",Sunrise is completely Full!! Come see us at The Lodge of Madrona!,1781,2,962.0,https://seattle.craigslist.org/tac/apa/d/tacoma-sunrise-is-completely-full-come/7502441570.html
2022-07-08 08:20," (34720 2nd Lane South Federal Way, WA)",Come Check out the BEST kept SECRET in Federal Way!,1925,1,820.0,https://seattle.craigslist.org/skc/apa/d/federal-way-come-check-out-the-best/7506255353.html
2022-07-08 08:20," (34720 2nd Lane South Federal Way, WA)",You’re here. You’re home. You’re happy! Visit or Call us TODAY!,1925,1,820.0,https://seattle.craigslist.org/skc/apa/d/federal-way-youre-here-youre-home-youre/7506255334.html
2022-07-08 08:20," (34720 2nd Lane South Federal Way, WA)",Have Your Ideal Home!!! Stop By TODAY You WON'T Be Disappointed!!,1925,1,820.0,https://seattle.craigslist.org/skc/apa/d/federal-way-have-your-ideal-home-stop/7506255335.html
2022-07-08 08:20," (34720 2nd Lane South Federal Way, WA)",Where excellence & convenience meet! CALL TODAY!,2025,1,820.0,https://seattle.craigslist.org/skc/apa/d/federal-way-where-excellence/7506255313.html
2022-07-08 08:20," (34720 2nd Lane South Federal Way, WA)",Everything you’ve been dreaming of is here! Lease TODAY!,1805,1,820.0,https://seattle.craigslist.org/skc/apa/d/federal-way-everything-youve-been/7506255317.html
2022-07-08 08:19," (2624 Western Avenue, Seattle, WA)",Belltown Neighborhood :: Bright Studio apt :: SHORT TERM LEASE OPTIONS,1249,,300.0,https://seattle.craigslist.org/see/apa/d/seattle-belltown-neighborhood-bright/7503780865.html
2022-07-08 08:18," (420 West Smith Street, Kent, WA)","Large Deck, Enjoy Summer in Your New Home! Open 1 Bed Available SOON",1836,1,630.0,https://seattle.craigslist.org/skc/apa/d/seattle-large-deck-enjoy-summer-in-your/7502930162.html
2022-07-08 08:18, (Puyallup/South Hill),Be the 1 one in our last 3x2 home! Newly constructed.,2915,3,1364.0,https://seattle.craigslist.org/tac/apa/d/puyallup-be-the-one-in-our-last-3x2/7506254345.html
2022-07-08 08:18, (tacoma / pierce),"Stainless steel appliances, washer/dryer and more!",1975,2,968.0,https://seattle.craigslist.org/tac/apa/d/lakewood-stainless-steel-appliances/7500374750.html
2022-07-08 08:17, (tacoma / pierce),"In-Unit W&D, Swimming Pool, Online Services, Last One Available!!!",2350,3,1150.0,https://seattle.craigslist.org/tac/apa/d/tacoma-in-unit-wd-swimming-pool-online/7506253537.html
2022-07-08 08:17, (seattle),Roosevelt Home,7500,8,2470.0,https://seattle.craigslist.org/see/apa/d/seattle-roosevelt-home/7500131072.html
2022-07-08 08:17, (Everett),"***FREE APP***ON LAKE, NEXT TO SHOPPING/DINING, FULL REMODEL, DECK",1625,1,,https://seattle.craigslist.org/sno/apa/d/everett-free-appon-lake-next-to/7503585579.html
