county,town,residential_tax_mill_rate
Plymouth,Abington,1.5%
Middlesex,Acton,1.9%
Bristol,Acushnet,1.3%
Berkshire,Adams,2.1%
Hampden,Agawam,1.6%
Berkshire,Alford,0.5%
Essex,Amesbury,1.8%
Hampshire,Amherst,2.1%
Essex,Andover,1.5%
NA,Aquinnah,0.6%
Middlesex,Arlington,1.1%
Worcester,Ashburnham,1.9%
Middlesex,Ashby,1.8%
Franklin,Ashfield,1.7%
Middlesex,Ashland,1.6%
Worcester,Athol,1.6%
Bristol,Attleboro,1.4%
Worcester,Auburn,1.7%
Norfolk,Avon,1.6%
Middlesex,Ayer,1.3%
Barnstable,Barnstable,0.9%
Worcester,Barre,1.7%
Berkshire,Becket,0.0%
Middlesex,Bedford,1.4%
Hampshire,Belchertown,1.8%
Norfolk,Bellingham,1.4%
Middlesex,Belmont,1.2%
Bristol,Berkley,1.4%
Worcester,Berlin,1.6%
Franklin,Bernardston,1.7%
Essex,Beverly,1.2%
Middlesex,Billerica,1.3%
Worcester,Blackstone,1.8%
Hampden,Blandford,1.5%
Worcester,Bolton,2.0%
Suffolk,Boston,1.1%
Barnstable,Bourne,1.0%
Middlesex,Boxborough,1.7%
Essex,Boxford,1.5%
Worcester,Boylston,1.6%
Norfolk,Braintree,1.0%
Barnstable,Brewster,0.8%
Plymouth,Bridgewater,1.4%
Hampden,Brimfield,1.6%
Plymouth,Brockton,1.4%
Worcester,Brookfield,1.6%
Norfolk,Brookline,1.0%
Franklin,Buckland,1.7%
Middlesex,Burlington,1.0%
Middlesex,Cambridge,0.6%
Norfolk,Canton,1.1%
Middlesex,Carlisle,1.7%
Plymouth,Carver,1.6%
Franklin,Charlemont,2.1%
Worcester,Charlton,1.3%
Barnstable,Chatham,0.5%
Middlesex,Chelmsford,1.6%
Suffolk,Chelsea,1.3%
Berkshire,Cheshire,1.3%
Hampden,Chester,1.9%
Hampshire,Chesterfield,1.8%
Hampden,Chicopee,1.7%
Dukes,Chilmark,0.3%
Berkshire,Clarksburg,1.6%
Worcester,Clinton,1.5%
Norfolk,Cohasset,1.3%
Franklin,Colrain,2.0%
Middlesex,Concord,1.5%
Franklin,Conway,1.8%
Hampshire,Cummington,1.4%
Berkshire,Dalton,2.1%
Essex,Danvers,1.3%
Bristol,Dartmouth,0.9%
Norfolk,Dedham,1.3%
Franklin,Deerfield,1.5%
Barnstable,Dennis,0.6%
Bristol,Dighton,1.4%
