date_time,town,title,price,beds,sqft,url
2022-07-08 05:14, (ANCHORAGE SE GREAT LOCATION),3 Bed/3Ba Great location Garage & Rv/Boat storage,2500,3,2500.0,https://anchorage.craigslist.org/apa/d/anchorage-bed-3ba-great-location-garage/7499129532.html
2022-07-07 21:37, (Wasilla),2 bedroom apt,975,2,,https://anchorage.craigslist.org/apa/d/wasilla-bedroom-apt/7506148280.html
2022-07-07 16:52, (Anchorage),**** $195/week or $695/month &  up Private Room w/ALL Utilities Inc. ****,195,,,https://anchorage.craigslist.org/apa/d/anchorage-195-week-or-695-month-up/7498695636.html
2022-07-07 16:11, (Downtown Anchorage),"~*~ Exceptional 1 bed / 1 bath. Washer/dryer, garage + amenities ~*~",1722,1,609.0,https://anchorage.craigslist.org/apa/d/anchorage-exceptional-bed-bath-washer/7506075734.html
2022-07-07 16:10, (Anchorage),Come home to Legacy West Apartment Homes in Anchorage. Garden-style living!,1550,2,840.0,https://anchorage.craigslist.org/apa/d/anchorage-come-home-to-legacy-west/7506065321.html
2022-07-07 16:05, (Anchorage),Utterly wonderful! Lovely 800 sqft 2 bed/1 bath at a great price!,1415,2,800.0,https://anchorage.craigslist.org/apa/d/anchorage-utterly-wonderful-lovely-800/7506065077.html
2022-07-07 16:02, (Anchorage),You'll love your new home! Come home to Four Seasons,1875,2,1025.0,https://anchorage.craigslist.org/apa/d/anchorage-youll-love-your-new-home-come/7506072438.html
2022-07-07 16:00, (Anchorage),We welcome your furry friends! Pet Friendly! 2 Bd / 2 Ba / 1025 SqFt,1875,2,1025.0,https://anchorage.craigslist.org/apa/d/anchorage-we-welcome-your-furry-friends/7506071794.html
2022-07-07 15:56, (Anchorage),Make yourself at home in comfort and style! 2 Bed / 1 Bath 800 SqFt,1415,2,800.0,https://anchorage.craigslist.org/apa/d/anchorage-make-yourself-at-home-in/7506065622.html
2022-07-07 15:56, (Anchorage),Incredible price! Outstanding 1025 sqft 2 bed / 2 bath! Tour today!,1875,2,1025.0,https://anchorage.craigslist.org/apa/d/anchorage-incredible-price-outstanding/7506070531.html
2022-07-07 15:50, (Anchorage),"Fantastic neighborhood! Great 2 bed, 1 bath, 780 Sq Ft!",1600,2,780.0,https://anchorage.craigslist.org/apa/d/anchorage-fantastic-neighborhood-great/7506068271.html
2022-07-07 15:43, (Anchorage),Enjoy our landscaped courtyard and garden-style setting!,1550,2,780.0,https://anchorage.craigslist.org/apa/d/anchorage-enjoy-our-landscaped/7506065917.html
2022-07-07 15:17, ((Lucille St Schrock Rd Wasilla)),Open Floor Plan Ranch Style Condo 2 Bed 1 Bath,1150,2,1000.0,https://anchorage.craigslist.org/apa/d/wasilla-open-floor-plan-ranch-style/7506056371.html
2022-07-07 15:02, (Anchorage),Happy renters live at The Highlands Luxury Residences! Beautiful community!,2050,1,880.0,https://anchorage.craigslist.org/apa/d/anchorage-happy-renters-live-at-the/7506037174.html
2022-07-07 14:49, (Anchorage),1 bedroom near hospitals and UAA,1200,1,,https://anchorage.craigslist.org/apa/d/anchorage-bedroom-near-hospitals-and-uaa/7506045632.html
2022-07-07 14:41, (Anchorage),"Fantastic neighborhood! Great 2 bed, 1 bath, 780 Sq Ft!",1600,2,780.0,https://anchorage.craigslist.org/apa/d/anchorage-fantastic-neighborhood-great/7506042775.html
2022-07-07 14:03, (Downtown Anchorage),1 bed 1 bath apartment at The Alaskan Apartments,1300,1,650.0,https://anchorage.craigslist.org/apa/d/anchorage-bed-bath-apartment-at-the/7506026983.html
2022-07-07 13:53, (Av. August 23rd),Check us out! Great 1 BD / 1 BA by public transportation. 529 SqFt!,1100,1,529.0,https://anchorage.craigslist.org/apa/d/anchorage-check-us-out-great-bd-ba-by/7506023120.html
2022-07-07 13:43, (Anchorage),Large 2BR w/washer & dryer! AVAILABLE IN JULY,1450,2,1100.0,https://anchorage.craigslist.org/apa/d/anchorage-large-2br-washer-dryer/7502937429.html
2022-07-07 13:30, (Anchorage),Gorgeous 1250 sq ft 2 bed / 2 bath - Prime location in Anchorage,2275,2,1250.0,https://anchorage.craigslist.org/apa/d/anchorage-gorgeous-1250-sq-ft-bed-bath/7506007860.html
2022-07-07 13:29, (Anchorage),Pets are welcome at Terrace on the Lake! 2 bd / 2 ba. Call for tour!,1685,2,920.0,https://anchorage.craigslist.org/apa/d/anchorage-pets-are-welcome-at-terrace/7506004129.html
2022-07-07 12:51, (Close to JBER),Amazing 2 bed 1 bath! Near public transportation and campus,1775,2,975.0,https://anchorage.craigslist.org/apa/d/anchorage-amazing-bed-bath-near-public/7505989462.html
2022-07-07 12:45, (Close to JBER),A picture is worth a thousand words! Check this 2 bed 1 bath out!,2025,2,975.0,https://anchorage.craigslist.org/apa/d/anchorage-picture-is-worth-thousand/7505992411.html
2022-07-07 12:45, (Close to JBER),Conveniently located 1 bed / 1 bath! 547 Sq Ft. Transit close by!,1220,1,547.0,https://anchorage.craigslist.org/apa/d/anchorage-conveniently-located-bed-bath/7505990924.html
2022-07-07 12:30, (Anchorage),location location! nice remodeled 2 Bdrm Apt,1400,2,,https://anchorage.craigslist.org/apa/d/anchorage-location-location-nice/7505981570.html
2022-07-07 12:02, (Anchorage),"Happiness awaits you at Wildwood Estates! 2 bed, 2 bath, 756 sqft!",1610,2,756.0,https://anchorage.craigslist.org/apa/d/anchorage-happiness-awaits-you-at/7505971565.html
2022-07-07 11:54, (Anchorage),"Wildwood Estates – Comfortable 1 bed, 1 bath, prime location!",1340,1,606.0,https://anchorage.craigslist.org/apa/d/anchorage-wildwood-estates-comfortable/7505967722.html
2022-07-07 11:50, (Anchorage),2 BR / 2 BA great for pets! Pet-Friendly Community in Anchorage,1610,2,756.0,https://anchorage.craigslist.org/apa/d/anchorage-br-ba-great-for-pets-pet/7505965776.html
2022-07-07 11:12, (Anchorage),"Comfortable living. Conveniently located, spacious 2 bed 1 bath!",1550,2,950.0,https://anchorage.craigslist.org/apa/d/anchorage-comfortable-living/7499405755.html
2022-07-07 11:11, (UAA and APU),Comfortable 750 sq ft 2 bed / 2 bath with access to transit,1488,2,750.0,https://anchorage.craigslist.org/apa/d/anchorage-comfortable-750-sq-ft-bed/7505934031.html
2022-07-07 11:11, (Anchorage),"Pets are family at Driftwood Apartment Homes! 1 bath, 1 bed! Visit us today!",1125,1,580.0,https://anchorage.craigslist.org/apa/d/anchorage-pets-are-family-at-driftwood/7499842180.html
2022-07-07 11:09, (Anchorage),Garden-style 780 SqFt 1 BR / 1 BA in Anchorage. Visit us today!,1285,1,780.0,https://anchorage.craigslist.org/apa/d/anchorage-garden-style-780-sqft-br-ba/7505941361.html
2022-07-07 11:06, (Minutes from Downtown),"This deal won't last long! Gorgeous 2 bed, 2 bath! Prime location.",1540,2,900.0,https://anchorage.craigslist.org/apa/d/anchorage-this-deal-wont-last-long/7505944190.html
2022-07-07 11:06, (Anchorage),Pet friendly community in Anchorage. 2 BD / 1 BA. Call for tour!,1500,2,865.0,https://anchorage.craigslist.org/apa/d/anchorage-pet-friendly-community-in/7505943937.html
2022-07-07 11:05, (Anchorage),Conveniently located! College campus close by!,1040,,444.0,https://anchorage.craigslist.org/apa/d/anchorage-conveniently-located-college/7505937835.html
2022-07-07 10:59, (Anchorage),"Spacious affordable 530 sq ft, Apartment for rent in Anchorage",1145,,530.0,https://anchorage.craigslist.org/apa/d/anchorage-spacious-affordable-530-sq-ft/7505940142.html
2022-07-07 10:58, (Anchorage),"$250 Off Move in! 2 bd, 1 ba, 840 sq ft. Come home today!",1425,2,840.0,https://anchorage.craigslist.org/apa/d/anchorage-250-off-move-in-bd-ba-840-sq/7505939470.html
2022-07-07 10:54, (Anchorage),Check out these views! You'll love this location and this 1 bd 1 ba!,1212,1,520.0,https://anchorage.craigslist.org/apa/d/anchorage-check-out-these-views-youll/7505930756.html
2022-07-07 10:52, (Anchorage),Chic sophisticated urban living can be yours at Alpine,1270,1,780.0,https://anchorage.craigslist.org/apa/d/anchorage-chic-sophisticated-urban/7505936704.html
2022-07-07 10:43, (Anchorage),Prime location! Amazing floorplans at Village at Calais,1065,1,550.0,https://anchorage.craigslist.org/apa/d/anchorage-prime-location-amazing/7505932044.html
2022-07-07 10:41," (Hillside,  Anchorage)",MOUNTAIN CABIN  *Utilities Paid*,1295,1,,https://anchorage.craigslist.org/apa/d/anchorage-mountain-cabin-utilities-paid/7505930884.html
2022-07-07 10:39, (Anchorage),Your Dog or Cat will love Strawberry Lane! Great for pets!,1600,2,780.0,https://anchorage.craigslist.org/apa/d/anchorage-your-dog-or-cat-will-love/7505929945.html
2022-07-07 09:58, (North Spenard),North Spenard 2 Bed - All Utilities Free - All Hardwood - Free Laundry,1275,2,750.0,https://anchorage.craigslist.org/apa/d/anchorage-north-spenard-bed-all/7505907961.html
2022-07-07 09:53, (South Anchorage),"Dimond & Victor Rd., behind Fred Meyers",1300,2,850.0,https://anchorage.craigslist.org/apa/d/anchorage-dimond-victor-rd-behind-fred/7502720155.html
2022-07-07 09:15, (Anchorage),"Large Westside 3 Br - Near Parks, Trials, and School",2300,3,2200.0,https://anchorage.craigslist.org/apa/d/anchorage-large-westside-br-near-parks/7497084576.html
2022-07-07 09:01, (Anchorage),"$1,450 HUGE 2 BR w/Washer & Dryer in unit ~ coming in July!",1450,2,1100.0,https://anchorage.craigslist.org/apa/d/anchorage-1450-huge-br-washer-dryer-in/7502377710.html
2022-07-07 08:52," (SOUTH ANCHORAGE, INDEPENDENCE PARK)","UPSTAIRS UNIT W/ MTN VIEWS, REMODELED, QUIET NEIGHBORHOOD",1650,2,1064.0,https://anchorage.craigslist.org/apa/d/anchorage-upstairs-unit-mtn-views/7503168912.html
2022-07-07 08:39, (Anchorage - Midtown),Fully Furnished and Ready to Move In Today!,3217,1,,https://anchorage.craigslist.org/apa/d/anchorage-fully-furnished-and-ready-to/7505865230.html
2022-07-07 07:22, (Downtown Anchorage),Furnished 1 bedroom duplex,1350,1,500.0,https://anchorage.craigslist.org/apa/d/anchorage-furnished-bedroom-duplex/7503934067.html
2022-07-07 01:40, (Anchorage),Nice Townhouse Rental with Double Garage,1975,3,,https://anchorage.craigslist.org/apa/d/anchorage-nice-townhouse-rental-with/7505732574.html
2022-07-06 22:43, (Anchorage),"Furnished, all inclusive one bedroom",1800,1,,https://anchorage.craigslist.org/apa/d/anchorage-furnished-all-inclusive-one/7505722112.html
2022-07-06 22:17, (Downtown Anchorage),"/month, $480/week, $260/3days, Budget Downtown Lodging",1100,,,https://anchorage.craigslist.org/apa/d/month-480-week-260-3days-budget/7505719675.html
2022-07-06 21:56, (Wasilla),1 bedroom 1 bath apartment,1000,1,700.0,https://anchorage.craigslist.org/apa/d/wasilla-bedroom-bath-apartment/7501335154.html
2022-07-06 21:46, (Anchorage),Clean and spacious Town Home near U-Med distict,2300,3,1750.0,https://anchorage.craigslist.org/apa/d/anchorage-clean-and-spacious-town-home/7505717193.html
2022-07-06 21:28," (Third Addition, Downtown Anchorage)","Downtown, Top Floor, Views, Remodeled, Private Deck, Sec Bld, Inc Heat",975,1,600.0,https://anchorage.craigslist.org/apa/d/anchorage-downtown-top-floor-views/7505712876.html
2022-07-06 20:53, (Minutes from Downtown),Bright and beautiful 2 bed / 2 bath! Don't wait to call us home!,1885,2,640.0,https://anchorage.craigslist.org/apa/d/anchorage-bright-and-beautiful-bed-bath/7505706813.html
2022-07-06 20:50, (Minutes from Downtown),"Covered Parking, Gas Fireplaces, Juliette Balconies, we have it all",1885,2,640.0,https://anchorage.craigslist.org/apa/d/anchorage-covered-parking-gas/7505706977.html
2022-07-06 19:18, (Girdwood),Girdwood Apt.for lease,1400,1,800.0,https://anchorage.craigslist.org/apa/d/girdwood-girdwood-aptfor-lease/7505696511.html
2022-07-06 18:03, (Taku/Campbell),"MODERN and SPACIOUS, 2 BR Condo with 2 Car Garage and Private Storage",1800,2,1111.0,https://anchorage.craigslist.org/apa/d/anchorage-modern-and-spacious-br-condo/7504600451.html
2022-07-06 17:52, (Midtown),There's no place like home at Alpine!,1425,2,840.0,https://anchorage.craigslist.org/apa/d/anchorage-theres-no-place-like-home-at/7505672106.html
2022-07-06 17:26, (Midtown),Experience a lifestyle of comfort and convenience at Alpine!,1445,2,840.0,https://anchorage.craigslist.org/apa/d/anchorage-experience-lifestyle-of/7505664622.html
2022-07-06 17:17, (Midtown),"Exquisite courtyard, garden-style 2 BR apartment in Anchorage",1425,2,840.0,https://anchorage.craigslist.org/apa/d/anchorage-exquisite-courtyard-garden/7505663242.html
2022-07-06 17:13, (Anchorage),Score yourself this Apartment! 444 Sq Ft! Amazing view!,1040,,444.0,https://anchorage.craigslist.org/apa/d/anchorage-score-yourself-this-apartment/7505654718.html
2022-07-06 17:01, (Anchorage),"Just stunning! Spacious 2 Bed, 1 bath with lots of light",1430,2,865.0,https://anchorage.craigslist.org/apa/d/anchorage-just-stunning-spacious-bed/7505652489.html
2022-07-06 17:00, (Midtown),Garden-style 780 SqFt 1 BR / 1 BA in Anchorage. Visit us today!,1270,1,780.0,https://anchorage.craigslist.org/apa/d/anchorage-garden-style-780-sqft-br-ba/7505661195.html
2022-07-06 16:53, (Anchorage),"Studio Rare Downtown, Heat and Internet Included, Near Everything",1000,,300.0,https://anchorage.craigslist.org/apa/d/anchorage-studio-rare-downtown-heat-and/7505658998.html
2022-07-06 16:50, (Anchorage),location location! nice remodeled 2 Bdrm Apt,1400,2,,https://anchorage.craigslist.org/apa/d/anchorage-location-location-nice/7505654430.html
2022-07-06 16:42, (Anchorage),"1 Bedroom, Internet and Heat Included, Downtown Rare Apt Home",1400,1,550.0,https://anchorage.craigslist.org/apa/d/anchorage-bedroom-internet-and-heat/7505655469.html
2022-07-06 16:21, (Big Lake/Wasilla),Lake House 2BR 1BA,2450,2,1100.0,https://anchorage.craigslist.org/apa/d/wasilla-lake-house-2br-1ba/7505648391.html
2022-07-06 16:17, (Downtown Anchorage),~*~ Exceptional Studio with Washer & Dryer. Garage Parking. August 11,1410,,498.0,https://anchorage.craigslist.org/apa/d/anchorage-exceptional-studio-with/7505646948.html
2022-07-06 16:13, (Anchorage),Convenient public transit access! Great community!,1110,1,529.0,https://anchorage.craigslist.org/apa/d/anchorage-convenient-public-transit/7502938377.html
2022-07-06 16:02, (Anchorage),"Wonderful Town Home Near U-Med District, Available Now!",2400,3,1850.0,https://anchorage.craigslist.org/apa/d/anchorage-wonderful-town-home-near-med/7505641831.html
2022-07-06 15:25, (North Spenard),2 Bed - All Hardwood - Free Utilities - Free Laundry,1250,2,750.0,https://anchorage.craigslist.org/apa/d/anchorage-bed-all-hardwood-free/7505628486.html
2022-07-06 15:18, (Russian Jack Park),Convenient easy maintenance vinyl flooring,1200,1,504.0,https://anchorage.craigslist.org/apa/d/anchorage-convenient-easy-maintenance/7505625973.html
2022-07-06 14:15, (Wasilla),2BR 1BA Garage W/D  View Pets on Apprv Wasilla,1475,2,1150.0,https://anchorage.craigslist.org/apa/d/wasilla-2br-1ba-garage-d-view-pets-on/7505601188.html
2022-07-06 14:11, (Midtown),One bed/One Bath 2nd floor w/balcony,950,1,600.0,https://anchorage.craigslist.org/apa/d/anchorage-one-bed-one-bath-2nd-floor/7505599444.html
2022-07-06 13:07, (Anchorage),Save on Gas! Great 2 Bd Apt at Convenient Location,1400,2,850.0,https://anchorage.craigslist.org/apa/d/anchorage-save-on-gas-great-bd-apt-at/7505570866.html
2022-07-06 12:49, (UAA and APU),Well-equipped kitchen! Dishwasher included! Susitna Ridge Apartment Homes,1488,2,750.0,https://anchorage.craigslist.org/apa/d/anchorage-well-equipped-kitchen/7505562183.html
2022-07-06 12:24, (Tikahtnu Commons),Cozy 2 BD / 1 BA complete with a private washer and dryer!,1550,2,780.0,https://anchorage.craigslist.org/apa/d/anchorage-cozy-bd-ba-complete-with/7505530916.html
2022-07-06 12:18, (Anchorage),"It's a wonderful life at Russian Jack Apartment Homes! 1 Bed, 1 Bath, 500 SqFt!",1190,1,500.0,https://anchorage.craigslist.org/apa/d/anchorage-its-wonderful-life-at-russian/7505547270.html
2022-07-06 12:00, (JBER),Check out our 2 bed / 1 bath. Every convenience your heart desires!,1550,2,780.0,https://anchorage.craigslist.org/apa/d/anchorage-check-out-our-bed-bath-every/7505529888.html
2022-07-06 11:58, (Wasilla),Detached 4plex near Redington,1400,3,1200.0,https://anchorage.craigslist.org/apa/d/wasilla-detached-4plex-near-redington/7505536309.html
2022-07-06 11:57, (Wasilla),Upper unit of 4 plex,850,1,520.0,https://anchorage.craigslist.org/apa/d/wasilla-upper-unit-of-plex/7505536265.html
2022-07-06 11:57, (Wasilla),Duplex in Wasilla,2250,3,1750.0,https://anchorage.craigslist.org/apa/d/wasilla-duplex-in-wasilla/7505536090.html
2022-07-06 11:56, (JBER),"Let us help you find your next home! Check out this 2 bed, 1 bath!",1415,2,800.0,https://anchorage.craigslist.org/apa/d/anchorage-let-us-help-you-find-your/7505527912.html
2022-07-06 11:46, (Anchorage),Beautiful 3 Bedroom Home w/ Large Fenced Backyard! Avail 8/2,2700,3,1894.0,https://anchorage.craigslist.org/apa/d/anchorage-beautiful-bedroom-home-large/7505530875.html
2022-07-06 11:42, (Tikahntnu Commons),"2 BR, 1 BA. Bring your pets! They will love it here! Visit us today!",1415,2,800.0,https://anchorage.craigslist.org/apa/d/anchorage-br-ba-bring-your-pets-they/7505528768.html
2022-07-06 11:40, (Anchorage),Nicely Upgraded 2 Bedroom Unit! Available July 26,1700,2,1100.0,https://anchorage.craigslist.org/apa/d/anchorage-nicely-upgraded-bedroom-unit/7505528085.html
2022-07-06 11:36, (Anchorage),"Pets are family at Driftwood Apartment Homes! 1 bath, 1 bed! Visit us today!",1125,1,580.0,https://anchorage.craigslist.org/apa/d/anchorage-pets-are-family-at-driftwood/7493982226.html
2022-07-06 11:35, (Anchorage),"Quality 2 bed, 1 bath with the amenities you desire! 950 Sq Feet!",1550,2,950.0,https://anchorage.craigslist.org/apa/d/anchorage-quality-bed-bath-with-the/7493984480.html
2022-07-06 11:31, (Near Campbell Park),Bright and beautiful 1 bed / 1 bath! Don't wait to call us home!,1235,1,728.0,https://anchorage.craigslist.org/apa/d/anchorage-bright-and-beautiful-bed-bath/7505517218.html
