date_time,town,title,price,beds,sqft,url
2022-07-09 10:23, (phx north),"Patio/Balcony, Three Sparkling Heated Pools and Spas, Business Center",989,,397.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-patio-balcony-three-sparkling/7506740521.html
2022-07-09 10:22," (9680 W Olive Ave, Peoria, AZ)","Spa, Oversized Closets, Washer & Dryer in Every Home",1804,2,900.0,https://phoenix.craigslist.org/wvl/apa/d/peoria-spa-oversized-closets-washer/7506740203.html
2022-07-09 10:22, (Scottsdale),"Washer/Dryer in Unit*, Business Center, Covered Parking",1809,2,935.0,https://phoenix.craigslist.org/evl/apa/d/scottsdale-washer-dryer-in-unit/7506740166.html
2022-07-09 10:22," (5740 N 59th Ave, Glendale, AZ)",No Deposit Option Available! Immediate Move In One Bedroom!,1222,1,676.0,https://phoenix.craigslist.org/wvl/apa/d/glendale-no-deposit-option-available/7504959151.html
2022-07-09 10:22, (Tempe),"24/7 Fully-Equipped Fitness Center, Courtyard, Cabana Areas",1705,1,735.0,https://phoenix.craigslist.org/evl/apa/d/tempe-24-fully-equipped-fitness-center/7506740031.html
2022-07-09 10:21, (Phoenix),IMMEDIATE MOVE - IN..... Arbor Creek Apartments,1500,1,,https://phoenix.craigslist.org/wvl/apa/d/phoenix-immediate-move-in-arbor-creek/7506739562.html
2022-07-09 10:21," (Tempe, AZ)","Walk-In Closets*, Wood Style Plank Flooring, Fitness Center",1315,1,600.0,https://phoenix.craigslist.org/evl/apa/d/tempe-walk-in-closets-wood-style-plank/7506739482.html
2022-07-09 10:20, (Chandler),"Bocce Ball, Rentable Poolside Clubhouse, Bark Park, WIFI Lounge",1899,2,1067.0,https://phoenix.craigslist.org/evl/apa/d/chandler-bocce-ball-rentable-poolside/7506739284.html
2022-07-09 10:20, (east valley),2 Bedroom Apartment Available For Lease!!,1771,2,960.0,https://phoenix.craigslist.org/evl/apa/d/chandler-bedroom-apartment-available/7503161886.html
2022-07-09 10:19, (Tempe),"Modern Amenities, High Speed Internet, Newly Renovated Interior",1800,2,911.0,https://phoenix.craigslist.org/evl/apa/d/tempe-modern-amenities-high-speed/7506738836.html
2022-07-09 10:19, (Scottsdale),Spacious kitchen 1x1 with 1 Month Free!,1915,1,728.0,https://phoenix.craigslist.org/evl/apa/d/scottsdale-spacious-kitchen-1x1-with/7505636658.html
2022-07-09 10:19, (east valley),"Tiled Backsplash in Kitchen, Package Service, Ceiling Fans",2095,2,1263.0,https://phoenix.craigslist.org/evl/apa/d/tempe-tiled-backsplash-in-kitchen/7506738431.html
2022-07-09 10:19, (Tempe),Your Dog or Cat will love IMT Desert Palm Village! Great for pets!,1580,1,720.0,https://phoenix.craigslist.org/evl/apa/d/tempe-your-dog-or-cat-will-love-imt/7506738419.html
2022-07-09 10:18, (east valley),"3/BD, Onsite playground, Located in Mesa",2129,3,1107.0,https://phoenix.craigslist.org/evl/apa/d/mesa-bd-onsite-playground-located-in/7494785987.html
2022-07-09 10:18," (McCormick Ranch/Scottsdale, 6-12 month leases)","Walk on the green belt, nears shops, dining, golf course",2088,2,1267.0,https://phoenix.craigslist.org/evl/apa/d/scottsdale-walk-on-the-green-belt-nears/7501409496.html
2022-07-09 10:18," (North Scottsdale, 12 month lease)","Garage, Granite or Quartz, tiled backsplash, balcony",1695,1,,https://phoenix.craigslist.org/nph/apa/d/garage-granite-or-quartz-tiled/7499525781.html
2022-07-09 10:18, (central/south phx),"Co-Work Space, Work Station Desk in Studio and 1-Bedroom Homes",1576,1,624.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-co-work-space-work-station-desk/7506737941.html
2022-07-09 10:18, (Downtown Phoenix),"Brand New 25 Stories, 6 Weeks Free Rent ($3180+)",2909,2,,https://phoenix.craigslist.org/cph/apa/d/phoenix-brand-new-25-stories-weeks-free/7497370520.html
2022-07-09 10:18, (west valley),"Air Conditioning, Property Manager on Site, Courtyard, Storage Space",1538,2,950.0,https://phoenix.craigslist.org/wvl/apa/d/phoenix-air-conditioning-property/7506737884.html
2022-07-09 10:17, (Hidden Treasure in North Phoenix off I-17),Relocating? Have your keys waiting when you arrive!,1849,2,,https://phoenix.craigslist.org/nph/apa/d/phoenix-relocating-have-your-keys/7503288256.html
2022-07-09 10:17," (North Phoenix, 12 month lease)","Near shopping, dining, movies, Move-In Ready!",1959,2,1177.0,https://phoenix.craigslist.org/nph/apa/d/phoenix-near-shopping-dining-movies/7506737816.html
2022-07-09 10:17," (In the heart of Phoenix, 12 month lease)","Pet utopia featuring dog wash, grooming station and fenced dog run",1695,1,,https://phoenix.craigslist.org/cph/apa/d/phoenix-pet-utopia-featuring-dog-wash/7500806177.html
2022-07-09 10:17," (North Phoenix, south of Desert Ridge)","Premium Upgrades, walk to shops, dining, move in June",2536,3,1569.0,https://phoenix.craigslist.org/nph/apa/d/premium-upgrades-walk-to-shops-dining/7497416482.html
2022-07-09 10:17, (Avondale),Modern Kitchens Equipped with Full Size Electric Appliances,1369,1,707.0,https://phoenix.craigslist.org/wvl/apa/d/avondale-modern-kitchens-equipped-with/7506737697.html
2022-07-09 10:17," (Desert Ridge, New Community)","Walk to Shops, Movies, Comedy, Great Restaurants",2344,2,,https://phoenix.craigslist.org/nph/apa/d/phoenix-walk-to-shops-movies-comedy/7501225063.html
2022-07-09 10:17," (Downtown Phoenix, For July move in)","Brand New, Pet Friendly with beautiful Finishes",1795,1,,https://phoenix.craigslist.org/cph/apa/d/phoenix-brand-new-pet-friendly-with/7503893694.html
2022-07-09 10:17, (Central Phoenix off the 51 highway),"Walk to nightlife, restaurants, $500 off 2nd month, select apt. homes)",1688,1,,https://phoenix.craigslist.org/nph/apa/d/phoenix-walk-to-nightlife-restaurants/7498989257.html
2022-07-09 10:17," (In the heart of Phoenix, July move in)","Direct access to the light rail, Private balconies, Walk In Closets",1695,1,,https://phoenix.craigslist.org/cph/apa/d/phoenix-direct-access-to-the-light-rail/7499881912.html
2022-07-09 10:17, (Central Phoenix),"New, Rooftop Lounge with city views, gas cooking",1788,1,,https://phoenix.craigslist.org/cph/apa/d/phoenix-new-rooftop-lounge-with-city/7504312068.html
2022-07-09 10:16," (McCormick Ranch/Scottsdale, 6-12 month leases)","Walk on the green belt, nears shops, dining, golf course",2080,2,,https://phoenix.craigslist.org/evl/apa/d/scottsdale-walk-on-the-green-belt-nears/7501225791.html
2022-07-09 10:16, (Phoenix),"Resort-style Swimming Pool with Shaded Loungers, Dishwasher, Microwave",1700,2,818.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-resort-style-swimming-pool-with/7506737341.html
2022-07-09 10:16, (Luxury Communities in Phoenix/Scottsdale),Transferring to Arizona? Pick up your keys once you arrive!,2350,2,,https://phoenix.craigslist.org/evl/apa/d/phoenix-transferring-to-arizona-pick-up/7503914687.html
2022-07-09 10:16," (Central Phoenix, July move in)","Dog Park and Spa, Garage parking, Zen garden and lush landscaping",1995,2,,https://phoenix.craigslist.org/cph/apa/d/phoenix-dog-park-and-spa-garage-parking/7503910655.html
2022-07-09 10:16," (Downtown Phoenix, 25 Stories)","20th FLOOR! Brand New, 6 Weeks Free, Floor To Ceiling Windows",2621,1,818.0,https://phoenix.craigslist.org/cph/apa/d/phoenix-20th-floor-brand-new-weeks-free/7504722473.html
2022-07-09 10:16, (Tempe),Pool View,1705,1,630.0,https://phoenix.craigslist.org/evl/apa/d/tempe-pool-view/7506737148.html
2022-07-09 10:16, (Biltmore/Camelback Corridor),"Loft Unit, Gas Cooktops, Quartz Countertops,Walk to nightlife, dining",1880,1,,https://phoenix.craigslist.org/cph/apa/d/phoenix-loft-unit-gas-cooktops-quartz/7504721982.html
2022-07-09 10:16, (In the heart of Phoenix),"Floor to ceiling windows, New and fabulous! Reduced!",1695,1,,https://phoenix.craigslist.org/cph/apa/d/phoenix-floor-to-ceiling-windows-new/7504723071.html
2022-07-09 10:16, (Tempe),Garage parking may be available (based on availability),1799,1,797.0,https://phoenix.craigslist.org/cph/apa/d/tempe-garage-parking-may-be-available/7506737000.html
2022-07-09 10:16," (North Scottsdale, July Move in)","Garage Included, Salt Water Pools, 9' Ceilings, Granite",1695,1,,https://phoenix.craigslist.org/nph/apa/d/garage-included-salt-water-pools/7502380226.html
2022-07-09 10:15, (North Scottsdale off the 101),"LOW MOVE IN FEES, Great price for this location!Easy freeway access",2044,2,,https://phoenix.craigslist.org/nph/apa/d/scottsdale-low-move-in-fees-great-price/7499068587.html
2022-07-09 10:15, (North Scottsdale off the 101),Great price for this location!Easy freeway access,1944,2,,https://phoenix.craigslist.org/nph/apa/d/scottsdale-great-price-for-this/7499924357.html
