date_time,town,title,price,beds,sqft,url
2022-07-08 07:17, (clark/cowlitz WA),"High Speed Internet, Double Sinks, Disability Access",1310,1,620.0,https://portland.craigslist.org/clk/apa/d/vancouver-high-speed-internet-double/7502691836.html
2022-07-08 07:12, (5109 SE 66th Ave),"Brand new(W),,,Luxurious--amazing 4 bedroom 2.5 bath home, SS appli...",1320,4,,https://portland.craigslist.org/mlt/apa/d/portland-brand-newwluxurious-amazing/7506199485.html
2022-07-08 07:12, (1429 SW 14th Ave (Goose Hollow)),Beautiful Vintage Two Bedroom in Goose Hollow,1650,2,860.0,https://portland.craigslist.org/mlt/apa/d/portland-beautiful-vintage-two-bedroom/7506222131.html
2022-07-08 07:11," (21759 Southwest Cedar Brook Way, Sherwood, OR)","🌷 Only a few left! 3 bedroom TH + Garage, A/C, Seasonal pool, 🌷",3312,3,1560.0,https://portland.craigslist.org/wsc/apa/d/sherwood-only-few-left-bedroom-th/7502412626.html
2022-07-08 07:05, (washington county),Summer Tanning On Your New Patio!😎,2873,3,1620.0,https://portland.craigslist.org/wsc/apa/d/portland-summer-tanning-on-your-new/7498190488.html
2022-07-08 07:02, (washington county),"1 Bed, Breakfast bar with pendent lighting, Mountain views",1766,1,827.0,https://portland.craigslist.org/wsc/apa/d/hillsboro-bed-breakfast-bar-with/7502503987.html
2022-07-08 06:56, (Portland),"Welcome Home! Spacious 1 bdrm/1 bath, Newly Renovated, Fireplace",1626,1,727.0,https://portland.craigslist.org/wsc/apa/d/portland-welcome-home-spacious-bdrm/7506215206.html
2022-07-08 06:51, (Forest Heights),Single house for rent located in the heart of Forest Heights,4300,4,2924.0,https://portland.craigslist.org/wsc/apa/d/portland-single-house-for-rent-located/7506213408.html
2022-07-08 06:48, (2018 NW Everett / NW / Northwest),* * TOP FLOOR * DISHWASHER * BALCONY * EVERETT APTS *,1395,1,625.0,https://portland.craigslist.org/mlt/apa/d/portland-top-floor-dishwasher-balcony/7506209677.html
2022-07-08 06:48, (Irvington),"2 bedroom, 1 Bath House",2800,2,1840.0,https://portland.craigslist.org/mlt/apa/d/portland-bedroom-bath-house/7506212237.html
2022-07-08 06:48, (2018 NW Everett / NW / Northwest),* * ONE BEDROOM * NEW HARDWOOD * BALCONY * EVERETT APTS *,1350,1,595.0,https://portland.craigslist.org/mlt/apa/d/portland-one-bedroom-new-hardwood/7506209590.html
2022-07-08 06:42, (2105 NW FLANDERS / NORTHWEST),* * HISTORIC ONE BEDROOM * HARTFORD APTS * *,1250,1,595.0,https://portland.craigslist.org/mlt/apa/d/portland-historic-one-bedroom-hartford/7506210004.html
2022-07-08 06:42, (2155 NW FLANDERS / Northwest),* * TOP FLOOR ONE BEDROOM * DISHWASHER  *  *,1150,1,575.0,https://portland.craigslist.org/mlt/apa/d/portland-top-floor-one-bedroom/7506209912.html
2022-07-08 06:42, (2018 NW Everett  Portland),* * MODERN ONE BEDROOM  * * EVERETT APTS * *,1250,1,575.0,https://portland.craigslist.org/mlt/apa/d/portland-modern-one-bedroom-everett/7506209826.html
2022-07-08 06:39, (Irvington),"Beautiful 2 bed, 1 bath House",2800,2,,https://portland.craigslist.org/mlt/apa/d/portland-beautiful-bed-bath-house/7504987716.html
2022-07-08 06:37," (22100 Horizon Drive, West Linn, OR)",2BR Upgraded and Move In Ready! 1st Month FREEEEE,2300,2,1045.0,https://portland.craigslist.org/clc/apa/d/west-linn-2br-upgraded-and-move-in/7498972778.html
2022-07-08 06:37, (multnomah county),You Can Afford To Dwell Well! Call Now & Check Out The Chelsea!!,1450,,,https://portland.craigslist.org/mlt/apa/d/portland-you-can-afford-to-dwell-well/7497311171.html
2022-07-08 06:35, (Boise Street),"AVAILABLE NOW, LOWER RENTS! ** ASK US!! -- Recently Updated Apartments",1175,,,https://portland.craigslist.org/mlt/apa/d/portland-available-now-lower-rents-ask/7506200160.html
2022-07-08 06:33, (104 NW 20th Avenue),WE HAVE UPDATED SPECIALS .. Affordable Luxury in our Perfect Location,1250,,,https://portland.craigslist.org/mlt/apa/d/portland-we-have-updated-specials/7506204309.html
2022-07-08 06:31, (104 NW 20th Avenue),GIVE US A CALL TODAY! | Multiple Helpful Community Services,1350,1,650.0,https://portland.craigslist.org/mlt/apa/d/portland-give-us-call-today-multiple/7506204012.html
2022-07-08 06:31, (2146 NW Johnson Street),MOVE IN ASAP ... APTS ARE READY || Spacious Nob Hill Apartment Homes!,1400,1,,https://portland.craigslist.org/mlt/apa/d/portland-move-in-asap-apts-are-ready/7506201196.html
2022-07-08 06:30, (1129 Columbia Street),WE'RE HERE FOR YOU! :: Upscale Apartments in the Perfect Location!,1350,1,,https://portland.craigslist.org/mlt/apa/d/portland-were-here-for-you-upscale/7506200941.html
2022-07-08 06:29, (Halsey Street),CALL US > ONLY $999 x 3 MO! -- The Perfect Location for Entertainment,1299,2,753.0,https://portland.craigslist.org/mlt/apa/d/portland-call-us-only-999-3-mo-the/7506201799.html
2022-07-08 06:27, (104 NW 20th Avenue),WE HAVE AVAILABILITY || Beautifully Redesigned - Clawfoot Tubs & More!,1250,,,https://portland.craigslist.org/mlt/apa/d/portland-we-have-availability/7505148356.html
2022-07-08 06:25, (washington county),"Pet friendly (breed restrictions apply), Purrrfect Home!🐱🐶",2638,3,1560.0,https://portland.craigslist.org/wsc/apa/d/portland-pet-friendly-breed/7499819785.html
2022-07-08 06:25, (Ivanhoe Street),NEW SPECIAL!! No Deposit! || Beautiful Nearby Hiking Trails/ Parks!,1400,2,,https://portland.craigslist.org/mlt/apa/d/portland-new-special-no-deposit/7501857319.html
2022-07-08 06:25, (9000 N Ivanhoe Street),CALL & MOVE w/ $0 DEPOSIT || Tour our Renovated Interiors! > Studio,1025,,,https://portland.craigslist.org/mlt/apa/d/portland-call-move-0-deposit-tour-our/7499817103.html
2022-07-08 06:25, (Portland),CALL 4 OUR NEW SPECIAL! || Nearby Hiking & Mass Transit >> 1 bed,1150,1,,https://portland.craigslist.org/mlt/apa/d/portland-call-our-new-special-nearby/7494689036.html
2022-07-08 06:24, (9000 N Ivanhoe Street),MOVE IN w/ NO DEPOSIT! -- Studio Apt ... Renovated Interior & More!,1025,,,https://portland.craigslist.org/mlt/apa/d/portland-move-in-no-deposit-studio-apt/7506203533.html
2022-07-08 06:23, (1532 NE 21st Avenue),MOVE-IN NOW >> Call & Apply Today! | Floor to Ceiling Windows,1449,1,,https://portland.craigslist.org/mlt/apa/d/portland-move-in-now-call-apply-today/7500685124.html
2022-07-08 06:23, (1532 NE 21st Avenue),ASK US ABOUT a TOUR! || Bike Score 100 > A+ Location!,1599,1,,https://portland.craigslist.org/mlt/apa/d/portland-ask-us-about-tour-bike-score/7502611521.html
2022-07-08 06:23, (1532 NE 21st Avenue),READY with NEW UPDATES ++ 1 Bed Apt ** Floor to Ceiling Windows,1399,1,,https://portland.craigslist.org/mlt/apa/d/portland-ready-with-new-updates-bed-apt/7505004222.html
2022-07-08 06:22, (1532 NE 21st Avenue),NEW SAVINGS with LOWER PRICE!! >> Updated Portland Apartment Homes!!,1449,1,,https://portland.craigslist.org/mlt/apa/d/portland-new-savings-with-lower-price/7506202786.html
2022-07-08 06:22, (8917 NE 15th Ave),"NEW LOWER PRICE -- ASK US! ** HUGE Outdoor Areas, Quiet Loc. // 1 Bed",1425,1,850.0,https://portland.craigslist.org/clk/apa/d/vancouver-new-lower-price-ask-us-huge/7499814618.html
