date_time,town,title,price,beds,sqft,url
2022-07-08 07:14, (SOMA / south beach),RENOVATED RENT CONTROLLED JR 1x1 in HIGH RISE!,2499,,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-renovated-rent-controlled/7506223021.html
2022-07-08 07:14, (santa rosa),Granny unit behind a larger house,1600,1,,https://sfbay.craigslist.org/nby/apa/d/santa-rosa-granny-unit-behind-larger/7506210867.html
2022-07-08 07:13, (South bay),!!!!!newly renovated 2BR/1BA character home for rent!!!!!,700,2,,https://sfbay.craigslist.org/sby/apa/d/oakland-newly-renovated-2br-1ba/7506213013.html
2022-07-08 07:13, (SOMA / south beach),CHARMING RENT CONTROLLED JR 1x1 in HIGH RISE!,2179,,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-charming-rent-controlled/7506222612.html
2022-07-08 07:13, (north beach / telegraph hill),Immaculate 2 br 1 bath in telegraph hill,2595,2,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-immaculate-br-bath-in/7506222565.html
2022-07-08 07:12, (concord / pleasant hill / martinez),"1/BD 1/BA, Resident social lounge, Onsite bike storage",2398,1,670.0,https://sfbay.craigslist.org/eby/apa/d/pleasant-hill-bd-ba-resident-social/7504706139.html
2022-07-08 07:12, (concord / pleasant hill / martinez),1BR/1BA Apartment with Stainless Steel Appliances & Quartz Counters,2300,1,,https://sfbay.craigslist.org/eby/apa/d/pleasant-hill-1br-1ba-apartment-with/7506222277.html
2022-07-08 07:12, (santa clara),LUX kitchen & bath / 1 bedroom apt / Plenty storage / Santa Clara area,2095,1,644.0,https://sfbay.craigslist.org/sby/apa/d/santa-clara-lux-kitchen-bath-bedroom/7502887521.html
2022-07-08 07:12, (SOMA / south beach),FULLY FURNISHED and RENT CONTROLLED JR 1 BR in SOMA,2429,,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-fully-furnished-and-rent/7506222205.html
2022-07-08 07:11, (fremont / union city / newark),Beautiful 3 bed 1 Bath  Move-in-Ready Unit,3295,3,942.0,https://sfbay.craigslist.org/eby/apa/d/union-city-beautiful-bed-bath-move-in/7493894780.html
2022-07-08 07:10, (danville / san ramon),"Come TOUR and ENJOY, downtown Danville. Schedule Appointment today!",3510,2,850.0,https://sfbay.craigslist.org/eby/apa/d/danville-come-tour-and-enjoy-downtown/7503739813.html
2022-07-08 07:10, (richmond / seacliff),"$2850, two bedrooms, 155 at 20 Ave, apt 3, SF, CA",2850,2,860.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-2850-two-bedrooms-155-at/7504439048.html
2022-07-08 07:09, (nob hill),Nob Hill Two Bedroom One Bath with Garage Parking ~ J.Wavro,4200,2,,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nob-hill-two-bedroom-one/7506220769.html
2022-07-08 07:08, (oakland downtown),Sunny One Bedroom With Courtyard Views Near Downtown Oakland!!,2690,1,686.0,https://sfbay.craigslist.org/eby/apa/d/oakland-sunny-one-bedroom-with/7503549525.html
2022-07-08 07:07, (richmond / point / annex),1.5 Baths. Freshly Renovated. Private Backyard. Garage Available.,2300,2,880.0,https://sfbay.craigslist.org/eby/apa/d/richmond-15-baths-freshly-renovated/7494023692.html
2022-07-08 07:06, (mission district),Large one bedroom in a 1910 Edwardian located in the Mission,3050,1,795.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-large-one-bedroom-in-1910/7506219696.html
2022-07-08 07:06, (concord / pleasant hill / martinez),REMODELED 1X1 APT. WITH ACCESS TO A LAUNDRY ROOM & A FITNESS CENTER,2300,1,,https://sfbay.craigslist.org/eby/apa/d/pleasant-hill-remodeled-1x1-apt-with/7506219658.html
2022-07-08 07:06, (tenderloin),1BR/1BA 1.5 Months Free! $0 Security Deposit - Pets OK!,2295,1,689.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-1br-1ba-15-months-free/7506219531.html
2022-07-08 07:06, (nob hill),"Nob Hill 1 bedroom, 1 bath Condo With Amazing Views For Rent!",4195,1,875.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-nob-hill-bedroom-bath/7494287560.html
2022-07-08 07:06, (mission district),"Gorgeous 1,322 SF newly built 2 bed/2bath condo for rent!",5220,2,1322.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-gorgeous-1322-sf-newly/7496184878.html
2022-07-08 07:06, (potrero hill),"1 bed, 1 bath modern construction luxury condo for rent!",4195,1,719.0,https://sfbay.craigslist.org/sfc/apa/d/san-francisco-bed-bath-modern/7498185142.html
