date_time,town,title,price,beds,sqft,url
2022-07-08 10:20, (14th ST NW),Have you heard?!?!?! Studio ADU Available Now Minutes from U St!!!,1740,,525.0,https://washingtondc.craigslist.org/doc/apa/d/washington-have-you-heard-studio-adu/7506226180.html
2022-07-08 10:20, (northern virginia),"Separate Dining Area, Close to Public Transportation, Laundry Facility",1862,2,950.0,https://washingtondc.craigslist.org/nva/apa/d/annandale-separate-dining-area-close-to/7498800229.html
2022-07-08 10:20," (3200 16th Street Northwest, Washington, DC)","Ceiling Fan, On-Site Maintenance, Public Transportation",1625,,535.0,https://washingtondc.craigslist.org/doc/apa/d/washington-ceiling-fan-on-site/7506226150.html
2022-07-08 10:19, (Capitol Heights),"Visit Your New Home, Swimming Pool, Central Heat",1389,1,670.0,https://washingtondc.craigslist.org/doc/apa/d/capitol-heights-visit-your-new-home/7506225603.html
2022-07-08 10:19, (Alexandria),"Modern Amenities, Storage, Laundry in Unit",2082,1,632.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-modern-amenities-storage/7506225389.html
2022-07-08 10:19," (2213 University BLVD E Hyattsville, MD)",JUST IMAGINE YOUR FUTURE AT UNIVERSITY CITY! WOW A BEAUTIFUL FUTURE!,1339,1,580.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-just-imagine-your-future-at/7506225247.html
2022-07-08 10:16, (district of columbia),"Walking & Bike Paths, Riverfront Views*, Wood-Style Flooring",2009,,411.0,https://washingtondc.craigslist.org/doc/apa/d/washington-walking-bike-paths/7506224097.html
2022-07-08 10:16," (1265 Elden Street, Herndon, VA)","Resident Activities, Corporate Leases Available, Flexible Lease Terms",2531,2,830.0,https://washingtondc.craigslist.org/nva/apa/d/herndon-resident-activities-corporate/7506223911.html
2022-07-08 10:13, (Ashburn),"Modern Fixtures, On Site Retail, Ceiling Fans",1944,1,746.0,https://washingtondc.craigslist.org/nva/apa/d/ashburn-modern-fixtures-on-site-retail/7506222807.html
2022-07-08 10:12, (maryland),Let Us Guide You Home Here at Affinity On Georgia!,2236,1,860.0,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-let-us-guide-you-home/7506222432.html
2022-07-08 10:12, (H Street Corridor),"Wi-Fi & Business Center, Sleek Under-Cabinet Lighting",1892,,446.0,https://washingtondc.craigslist.org/doc/apa/d/washington-wi-fi-business-center-sleek/7506222291.html
2022-07-08 10:12, (maryland),"Free Gas Heat & Cooking, Online Service Requests, Business Center",1875,2,950.0,https://washingtondc.craigslist.org/mld/apa/d/beltsville-free-gas-heat-cooking-online/7505334644.html
2022-07-08 10:11," (4701 Kenmore Avenue, Alexandria, VA)","""🔷🔶🔹 THE PLACE YOU WILL CALL HOME! 🔹 🔶 🔷""",2135,2,1185.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-the-place-you-will-call-home/7496108169.html
2022-07-08 10:11," (2213 University BLVD E Hyattsville, MD)",BE NICE TO YOUR WALLET AND SAVE HERE AT UC CALL EMILY TODAY!,1339,1,580.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-be-nice-to-your-wallet-and/7506221961.html
2022-07-08 10:11, (maryland),"Short Term Leases Available (3, 6, and 9 months), Courtyard, Gas Range",1265,2,,https://washingtondc.craigslist.org/mld/apa/d/temple-hills-short-term-leases/7502174196.html
2022-07-08 10:11, (U St Corridor),Have you heard?!?!?! Studio ADU Available Now Minutes from U St!!!,1740,,512.0,https://washingtondc.craigslist.org/doc/apa/d/washington-have-you-heard-studio-adu/7506221714.html
2022-07-08 10:11," (2213 University BLVD E Hyattsville, MD)",GIVE YOUR LOVED ONES NEW SURPRISES. GIVES US A CALL TODAY!,1339,1,580.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-give-your-loved-ones-new/7506221706.html
2022-07-08 10:11," (8156 Eastern Ave NW Washington, DC Shepherd Park)",8156 Eastern Ave NW. Single Family house for rent.,1150,4,,https://washingtondc.craigslist.org/doc/apa/d/washington-8156-eastern-ave-nw-single/7500670291.html
2022-07-08 10:10, (district of columbia),"Renter Rewards program, Resident Activities, Cable Ready",1650,1,674.0,https://washingtondc.craigslist.org/doc/apa/d/washington-renter-rewards-program/7504971958.html
2022-07-08 10:10," (2213 University BLVD E Hyattsville, MD)",FALL IN LOVE WITH UNIVERSITY CITY! YOU WON'T WANT TO LEAVE! APPLY NOW!,1339,1,580.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-fall-in-love-with/7506221263.html
2022-07-08 10:10," (1204 S Washington St, Alexandria, VA)","Bicycle Storage, Elevator, Move In Guarantee",1369,,380.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-bicycle-storage-elevator/7506221151.html
2022-07-08 10:10, (Parkwood Bethesda),🏠 Bethesda house for rent. Available now,3900,4,2000.0,https://washingtondc.craigslist.org/mld/apa/d/bethesda-bethesda-house-for-rent/7506221155.html
2022-07-08 10:09, (maryland),"Updated Appliances, Walk to shopping, Schools",2133,3,1124.0,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-updated-appliances-walk/7505310991.html
2022-07-08 10:09," (1445 Ogden Street Northwest, Washington, DC)","Laundry Facilities, Ceiling Fan, Bilingual Staff",1758,1,710.0,https://washingtondc.craigslist.org/doc/apa/d/washington-laundry-facilities-ceiling/7506220782.html
2022-07-08 10:09," (100 Michigan Avenue, NE, Washington, DC)","Window Coverings, Plush Wall-To-Wall Carpet, Dishwasher",2455,2,1000.0,https://washingtondc.craigslist.org/doc/apa/d/washington-window-coverings-plush-wall/7499352185.html
2022-07-08 10:08, (maryland),"Soaker Tub, Refrigerator, BBQ/Picnic Area",1780,2,967.0,https://washingtondc.craigslist.org/mld/apa/d/capitol-heights-soaker-tub-refrigerator/7493941311.html
2022-07-08 10:08," (2213 University BLVD E Hyattsville, MD)",YOUR NEW RENOVATED APARTMENT AWAITS YOU! APPLY FOR IT TODAY!,1339,1,580.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-your-new-renovated/7506220486.html
2022-07-08 10:08, (Germantown),"Visit Your New Home, Tennis Court, Package Receiving",1819,1,801.0,https://washingtondc.craigslist.org/mld/apa/d/germantown-visit-your-new-home-tennis/7506220289.html
2022-07-08 10:07, (maryland),"Hardwood Flooring, Emergency Maintenance, Close to Schools",1290,1,,https://washingtondc.craigslist.org/mld/apa/d/brentwood-hardwood-flooring-emergency/7501968464.html
2022-07-08 10:07, (northern virginia),"Immediate & future units available , Apply today",1441,1,586.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-immediate-future-units/7506219987.html
2022-07-08 10:07, (Fairfax),"Metro Accessible, Modern Appliances, Comfort and Convenience",2205,2,1086.0,https://washingtondc.craigslist.org/nva/apa/d/fairfax-metro-accessible-modern/7506219896.html
2022-07-08 10:07, (Washington),"High Ceilings, Spa/Hot Tub, Covered Parking, Microwave, Alarm System",2628,1,721.0,https://washingtondc.craigslist.org/doc/apa/d/washington-high-ceilings-spa-hot-tub/7506219873.html
2022-07-08 10:07, (Alexandria),"Walk In Closet, Visit Your New Home, Garages Available",1540,1,665.0,https://washingtondc.craigslist.org/nva/apa/d/alexandria-walk-in-closet-visit-your/7506219717.html
2022-07-08 10:06, (Glover Park),2 Bed/1Bath + 1 HUGE DEN ★★ VIDEO TOUR ★★ Office & Outdoor Space,2550,2,,https://washingtondc.craigslist.org/doc/apa/d/washington-bed-1bath-huge-den-video/7506219518.html
2022-07-08 10:06, (Dumfries/Triangle),End Unit Townhouse for Rent,2295,3,,https://washingtondc.craigslist.org/nva/apa/d/dumfries-end-unit-townhouse-for-rent/7506219302.html
2022-07-08 10:05," (Tysons, McLean VA)","Open House PeachTree of McLean June 18, 2022, Apply Today!!",1830,1,801.0,https://washingtondc.craigslist.org/nva/apa/d/falls-church-open-house-peachtree-of/7497896347.html
2022-07-08 10:04," (2213 University BLVD E Hyattsville, MD)",IT'S TIME TO INVEST IN YOURSELF BY INVESTING IN YOUR HOME! CALL TODAY!,1339,1,580.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-its-time-to-invest-in/7506218786.html
2022-07-08 10:04, (Minutes to Vienna Metro Station),"Make yourself at home, garden-style! Lerner Arrowood Parc",2216,2,1039.0,https://washingtondc.craigslist.org/nva/apa/d/vienna-make-yourself-at-home-garden/7506218498.html
2022-07-08 10:04, (district of columbia),"Refrigerator, High Speed Internet, Garage",1902,,648.0,https://washingtondc.craigslist.org/doc/apa/d/washington-refrigerator-high-speed/7505341785.html
2022-07-08 10:04, (Livingston),Spacious 1 Bedroom floorplans! Come see our great community!,1960,1,625.0,https://washingtondc.craigslist.org/doc/apa/d/washington-spacious-bedroom-floorplans/7506208327.html
2022-07-08 10:03, (northern virginia),"Resort inspired pool, D.C. Skyline Views, Stainless Steel Appliances",2974,1,835.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-resort-inspired-pool-dc/7503559973.html
2022-07-08 10:03," (2213 University BLVD E Hyattsville, MD)","GROWING TODAY FOR A BETTER TOMORROW, SATRTS HERE! LEASE TODAY!",1339,1,580.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-growing-today-for-better/7506218222.html
2022-07-08 10:03, (district of columbia),"Expansive Windows, State-of-the-Art Fitness Center",2009,,411.0,https://washingtondc.craigslist.org/doc/apa/d/washington-expansive-windows-state-of/7506218104.html
2022-07-08 10:02, (northern virginia),WDU E-Tier 2 Bedroom 2 Bath! Lease Today,2688,2,1151.0,https://washingtondc.craigslist.org/nva/apa/d/reston-wdu-tier-bedroom-bath-lease-today/7506217802.html
2022-07-08 10:02, (South Arlington),"Crystal City 2BR, 1.5 baths, with large front porch and yard",2220,2,950.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-crystal-city-2br-15-baths/7503817432.html
2022-07-08 10:02, (Minutes to Vienna Metro Station),Newly upgraded! Move in ready! Don't miss out!,1988,1,866.0,https://washingtondc.craigslist.org/nva/apa/d/vienna-newly-upgraded-move-in-ready/7506217710.html
2022-07-08 10:02," (2213 University BLVD E Hyattsville, MD)",IT'S ALWAYS SATURDAY AT UNIVERSITY CITY! FOR MORE INFO ASK FOR EMILY!,1339,1,580.0,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-its-always-saturday-at/7506217639.html
2022-07-08 10:02, (Herndon),"Schedule a Tour, Private Patio or Balcony, Individual Washer Dryer",1962,1,671.0,https://washingtondc.craigslist.org/nva/apa/d/herndon-schedule-tour-private-patio-or/7506217474.html
2022-07-08 10:01, (Bethesda),"Look No Further!  Our Only 1 BR Available, Downtown Bethesda",2566,1,854.0,https://washingtondc.craigslist.org/mld/apa/d/chevy-chase-look-no-further-our-only-br/7506217227.html
2022-07-08 10:01, (district of columbia),"9’ Ceilings, Movie Theatre & Billiards Room, In Gainesville",2290,1,828.0,https://washingtondc.craigslist.org/doc/apa/d/gainesville-ceilings-movie-theatre/7506217153.html
2022-07-08 10:01, (Suitland),"It's a wonderful life at Capital Crossing! 1 Bed, 1 Bath, 705 SqFt!",1299,1,705.0,https://washingtondc.craigslist.org/mld/apa/d/suitland-its-wonderful-life-at-capital/7506217110.html
2022-07-08 10:00, (maryland),Electric Included in Rent - Renovated Units w/Carpet & Hardwood Floors,1315,1,,https://washingtondc.craigslist.org/mld/apa/d/brentwood-electric-included-in-rent/7506217000.html
2022-07-08 10:00, (northern virginia),Home is where the amenities are!,1688,1,670.0,https://washingtondc.craigslist.org/nva/apa/d/manassas-home-is-where-the-amenities-are/7506216843.html
2022-07-08 10:00, (maryland),"Gas Cooking, Refreshing Swimming Pool with Sundeck, Dishwasher",1457,1,600.0,https://washingtondc.craigslist.org/mld/apa/d/bladensburg-gas-cooking-refreshing/7506216792.html
2022-07-08 09:59, (Arlington),You’ll fall in LOVE w/ the VIEW! Rent Today! Convenient Location!,1913,1,536.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-youll-fall-in-love-the-view/7506216576.html
2022-07-08 09:59, (Arlington),We have the wonderful 2br/1bth you’ve been waiting for! Apply Today!!,2031,2,635.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-we-have-the-wonderful-2br/7506216556.html
2022-07-08 09:59," (919 Perry Pl NE Washington, DC  Catholic University)",Charming 3-bedroom/2-bathroom beautifully renovated house for rent,885,3,,https://washingtondc.craigslist.org/doc/apa/d/washington-charming-bedroom-bathroom/7506194552.html
2022-07-08 09:59, (district of columbia),"Green Penthouse Roof, Walking & Bike Paths, Expansive Windows",3520,2,1159.0,https://washingtondc.craigslist.org/doc/apa/d/washington-green-penthouse-roof-walking/7506216262.html
2022-07-08 09:59, (northern virginia),Always Fresh. Forever Original.,2079,2,1036.0,https://washingtondc.craigslist.org/nva/apa/d/herndon-always-fresh-forever-original/7505333756.html
2022-07-08 09:57, (district of columbia),"Oversized Walk-In Closets, Generously Sized Floor Plans, Gas Range",2160,2,972.0,https://washingtondc.craigslist.org/doc/apa/d/washington-oversized-walk-in-closets/7505337397.html
2022-07-08 09:57, (Minutes to Vienna Metro Station),Check out our community today for an experience that can't be beat!,1818,1,868.0,https://washingtondc.craigslist.org/nva/apa/d/vienna-check-out-our-community-today/7506215725.html
2022-07-08 09:56, (northern virginia),"1/BD 1/BA, Upgraded Appliance Package, close to Arlington",1941,1,609.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-bd-ba-upgraded-appliance/7505329705.html
2022-07-08 09:56, (northern virginia),"Washer and Dryer, Swimming Pool, Grilling Area",2420,1,794.0,https://washingtondc.craigslist.org/nva/apa/d/arlington-washer-and-dryer-swimming/7503874094.html
2022-07-08 09:54, (northern virginia),"Cozy Clubhouse, Breakfast Bar, Private Patio or Balcony",2090,2,858.0,https://washingtondc.craigslist.org/nva/apa/d/fairfax-cozy-clubhouse-breakfast-bar/7506214630.html
2022-07-08 09:54, (Logan and Dupont Circle),"Cats Welcome, Ideal Location, Incredible Features",2085,,505.0,https://washingtondc.craigslist.org/doc/apa/d/parcel-return-service-cats-welcome/7506210950.html
